Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +8.965        -0.525        +8.44         +8.44         
1             1             -0.7437       -0.2673       -1.011        -1.011        
2             2             -4.849        -0.4179       -5.2669       -5.2669       
3             3             -3.0029       -0.1294       -3.1323       -3.1323       
4             4             -0.5413       -0.0678       -0.6091       -0.6091       
5             5             -0.8359       -0.0684       -0.9043       -0.9043       
6             6             -5.2528       -0.2561       -5.5089       -5.5089       
7             7             -1.1704       -0.0356       -1.206        -1.206        
8             8             -1.0404       -0.0129       -1.0533       -1.0533       
9             9             -0.0157       -0            -0.0157       -0.0157       
10            10            +2.3552       -0.0264       +2.3288       +2.3288       
11            11            -0.8507       -0.0032       -0.8539       -0.8539       
12            12            -0.4634       -0.002        -0.4654       -0.4654       
13            13            -0.1031       -0.0001       -0.1032       -0.1032       
14            14            -0.0186       -0.0003       -0.0189       -0.0189       
15            15            -0.2268       -0.0003       -0.2271       -0.2271       
16            16            -0.0103       -0            -0.0103       -0.0103       
17            17            +0            +0            +0            +0            
18            18            -0.0076       -0            -0.0076       -0.0076       
19            19            -0.0716       -0.0001       -0.0717       -0.0717       
20            20            +0            +0            +0            +0            
21            21            +0            +0            +0            +0            
22            22            -0.4554       -0.0014       -0.4568       -0.4568       
23            23            +0.0225       -0.0039       +0.0186       +0.0186       
24            24            -1.5129       -0.0295       -1.5424       -1.5424       
25            25            -0.7777       -0.0127       -0.7904       -0.7904       
26            26            +0.7514       -0.0299       +0.7215       +0.7215       
27            27            -0.0293       -0.033        -0.0623       -0.0623       
28            28            -0.0762       -0.0325       -0.1087       -0.1087       
29            29            +1.1835       -0.0671       +1.1164       +1.1164       
30            30            +1.5662       -0.0969       +1.4693       +1.4693       
31            31            -1.1179       -0.0438       -1.1617       -1.1617       
32            32            -0.4981       -0.1123       -0.6104       -0.6104       
33            33            -0.1054       -0.0426       -0.148        -0.148        
34            34            +0.4458       -0.0568       +0.389        +0.389        
35            35            +0.4511       -0.0705       +0.3806       +0.3806       
36            36            +1.8539       -0.0748       +1.7791       +1.7791       
37            37            +1.0241       -0.0652       +0.9589       +0.9589       
