Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            +0            +0            +0            
1             1             +0            +0            +0            +0            
2             2             +0.0196       -0            +0.0196       +0.0196       
3             3             -0.0327       -0.0001       -0.0328       -0.0328       
4             4             +0.0607       -0.0045       +0.0562       +0.0562       
5             5             +0.0296       -0            +0.0296       +0.0296       
6             6             +0.0152       -0.0001       +0.0151       +0.0151       
7             7             +0            +0            +0            +0            
8             8             +0.0312       -0.0015       +0.0297       +0.0297       
9             9             +0.0017       -0            +0.0017       +0.0017       
10            10            +0.0162       -0.0001       +0.0161       +0.0161       
11            11            +0.0028       -0.002        +0.0008       +0.0008       
12            12            +0            +0            +0            +0            
13            13            +0.0409       -0.0001       +0.0408       +0.0408       
14            14            +0            +0            +0            +0            
15            15            +0            +0            +0            +0            
16            16            +0            +0            +0            +0            
17            17            -0.0627       -0.0001       -0.0628       -0.0628       
18            18            +0            +0            +0            +0            
19            19            -0.0005       -0            -0.0005       -0.0005       
20            20            +0            +0            +0            +0            
21            21            +0            +0            +0            +0            
22            22            +0            +0            +0            +0            
23            23            +0            +0            +0            +0            
24            24            +0            +0            +0            +0            
25            25            -0.021        -0            -0.021        -0.021        
26            26            +0            +0            +0            +0            
27            27            +0            +0            +0            +0            
28            28            +0            +0            +0            +0            
29            29            +0            +0            +0            +0            
30            30            +0            +0            +0            +0            
31            31            +0            +0            +0            +0            
32            32            +0            +0            +0            +0            
33            33            +0            +0            +0            +0            
34            34            +0            +0            +0            +0            
35            35            +0            +0            +0            +0            
36            36            +0            +0            +0            +0            
37            37            +0            +0            +0            +0            
38            38            +0            +0            +0            +0            
39            39            +0            +0            +0            +0            
40            40            +0            +0            +0            +0            
41            41            +0            +0            +0            +0            
42            42            +0            +0            +0            +0            
43            43            +0            +0            +0            +0            
44            44            +0            +0            +0            +0            
45            45            +0            +0            +0            +0            
46            46            +0            +0            +0            +0            
47            47            +0            +0            +0            +0            
48            48            +0            +0            +0            +0            
49            49            +0            +0            +0            +0            
50            50            +0            +0            +0            +0            
51            51            +0            +0            +0            +0            
52            52            +0            +0            +0            +0            
53            53            +0            +0            +0            +0            
54            54            +0            +0            +0            +0            
55            55            +0            +0            +0            +0            
56            56            +0            +0            +0            +0            
57            57            +0            +0            +0            +0            
58            58            +0            +0            +0            +0            
59            59            +0            +0            +0            +0            
60            60            +0            +0            +0            +0            
61            61            +0            +0            +0            +0            
62            62            +0            +0            +0            +0            
63            63            +0            +0            +0            +0            
64            64            +0            +0            +0            +0            
65            65            +0            +0            +0            +0            
66            66            +0.0274       -0.0002       +0.0272       +0.0272       
67            67            +0.0086       -0.0014       +0.0072       +0.0072       
68            68            +0.0041       -0.0565       -0.0524       -0.0524       
69            69            -0.0452       -0.0418       -0.087        -0.087        
70            70            -0.0983       -0.0571       -0.1554       -0.1554       
71            71            +0.0261       -0.0155       +0.0106       +0.0106       
72            72            -0.0153       -0.0442       -0.0595       -0.0595       
73            73            -0.0084       -0.0265       -0.0349       -0.0349       
74            74            -0.0676       -0.0459       -0.1135       -0.1135       
75            75            -0.0316       -0.0014       -0.033        -0.033        
76            76            -0.0014       -0.035        -0.0364       -0.0364       
77            77            -0.0129       -0.0188       -0.0317       -0.0317       
78            78            +0.0084       -0.0181       -0.0097       -0.0097       
79            79            +0.0127       -0.0453       -0.0326       -0.0326       
80            80            +0.0396       -0.0077       +0.0319       +0.0319       
81            81            -0.0129       -0.0541       -0.067        -0.067        
82            82            +0.0055       -0.0289       -0.0234       -0.0234       
83            83            -0.0808       -0.0431       -0.1239       -0.1239       
84            84            +0.1509       -0.092        +0.0589       +0.0589       
85            85            -0.005        -0.0428       -0.0478       -0.0478       
86            86            +0.0914       -0.0649       +0.0265       +0.0265       
87            87            +0.2182       -0.1313       +0.0869       +0.0869       
88            88            +0.1899       -0.0839       +0.106        +0.106        
89            89            +0.2477       -0.072        +0.1757       +0.1757       
90            90            +0.215        -0.0597       +0.1553       +0.1553       
91            91            +0.082        -0.0633       +0.0187       +0.0187       
92            92            +0.1969       -0.0855       +0.1114       +0.1114       
93            93            +0.1967       -0.0937       +0.103        +0.103        
94            94            +0.0685       -0.0669       +0.0016       +0.0016       
95            95            +0.0932       -0.0705       +0.0227       +0.0227       
96            96            +0.0967       -0.0824       +0.0143       +0.0143       
97            97            +0.1686       -0.0975       +0.0711       +0.0711       
98            98            +0.1806       -0.0943       +0.0863       +0.0863       
99            99            +0.1024       -0.0858       +0.0166       +0.0166       
100           100           +0.2187       -0.0889       +0.1298       +0.1298       
101           101           +0.2269       -0.112        +0.1149       +0.1149       
102           102           -0.0118       -0.0574       -0.0692       -0.0692       
103           103           +0.1755       -0.0804       +0.0951       +0.0951       
104           104           +0.1055       -0.0929       +0.0126       +0.0126       
105           105           +0.1643       -0.0841       +0.0802       +0.0802       
106           106           +0.1726       -0.106        +0.0666       +0.0666       
107           107           +0.2168       -0.1069       +0.1099       +0.1099       
108           108           +0.1385       -0.0735       +0.065        +0.065        
109           109           +0.2756       -0.1056       +0.17         +0.17         
110           110           +0.0042       -0.0659       -0.0617       -0.0617       
111           111           +0.0228       -0.0782       -0.0554       -0.0554       
112           112           +0.0227       -0.0425       -0.0198       -0.0198       
113           113           +0.1277       -0.0686       +0.0591       +0.0591       
114           114           +0.0317       -0.0311       +0.0006       +0.0006       
115           115           +0.0321       -0.1023       -0.0702       -0.0702       
116           116           +0.2038       -0.0753       +0.1285       +0.1285       
117           117           -0.0583       -0.0649       -0.1232       -0.1232       
118           118           +0.0902       -0.0933       -0.0031       -0.0031       
119           119           +0.1635       -0.0863       +0.0772       +0.0772       
120           120           +0.0675       -0.0798       -0.0123       -0.0123       
121           121           +0.5032       -0.0909       +0.4123       +0.4123       
122           122           -0.1378       -0.0812       -0.219        -0.219        
123           123           +0.0251       -0.0639       -0.0388       -0.0388       
124           124           +0.0749       -0.0796       -0.0047       -0.0047       
125           125           +0.2895       -0.1064       +0.1831       +0.1831       
126           126           +0.0925       -0.0753       +0.0172       +0.0172       
127           127           +0.2453       -0.1032       +0.1421       +0.1421       
128           128           +0.0677       -0.0995       -0.0318       -0.0318       
129           129           +0.2445       -0.0836       +0.1609       +0.1609       
130           130           +0.2191       -0.1125       +0.1066       +0.1066       
131           131           +0.1341       -0.0912       +0.0429       +0.0429       
132           132           +0.2328       -0.0827       +0.1501       +0.1501       
133           133           +0.169        -0.0904       +0.0786       +0.0786       
134           134           +0.1654       -0.0834       +0.082        +0.082        
135           135           -0.0992       -0.0701       -0.1693       -0.1693       
136           136           +0.0712       -0.0883       -0.0171       -0.0171       
137           137           +0.1648       -0.087        +0.0778       +0.0778       
138           138           +0.1051       -0.0875       +0.0176       +0.0176       
139           139           -0.0024       -0.0665       -0.0689       -0.0689       
140           140           +0.0149       -0.0998       -0.0849       -0.0849       
141           141           +0.1432       -0.0715       +0.0717       +0.0717       
142           142           +0.0161       -0.0518       -0.0357       -0.0357       
143           143           +0.1006       -0.0783       +0.0223       +0.0223       
144           144           +0.0907       -0.0616       +0.0291       +0.0291       
145           145           +0.0978       -0.1182       -0.0204       -0.0204       
146           146           +0.0639       -0.084        -0.0201       -0.0201       
147           147           +0.0878       -0.0819       +0.0059       +0.0059       
148           148           +0.0595       -0.099        -0.0395       -0.0395       
149           149           +0.2023       -0.1064       +0.0959       +0.0959       
150           150           +0.074        -0.0509       +0.0231       +0.0231       
