Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0.1843       -0.0012       +0.1831       +0.1831       
1             1             +0.022        -0.0426       -0.0206       -0.0206       
2             2             +0.3093       -0.1063       +0.203        +0.203        
3             3             -0.1015       -0.0018       -0.1033       -0.1033       
4             4             -0.2075       -0.0346       -0.2421       -0.2421       
5             5             +0.1518       -0.0004       +0.1514       +0.1514       
6             6             +0.2226       -0.0019       +0.2207       +0.2207       
7             7             +0.295        -0.0008       +0.2942       +0.2942       
8             8             -0.2668       -0.0086       -0.2754       -0.2754       
9             9             +0.1821       -0.0742       +0.1079       +0.1079       
10            10            +0.2454       -0.0582       +0.1872       +0.1872       
11            11            +0.0666       -0.0154       +0.0512       +0.0512       
12            12            +0.2588       -0.032        +0.2268       +0.2268       
13            13            +0.1856       -0.0402       +0.1454       +0.1454       
14            14            +0.0595       -0.0101       +0.0494       +0.0494       
15            15            +0.0577       -0.0112       +0.0465       +0.0465       
16            16            +0.2114       -0.0054       +0.206        +0.206        
17            17            +0.1409       -0.0056       +0.1353       +0.1353       
18            18            +0.2226       -0.0028       +0.2198       +0.2198       
19            19            +0.2471       -0.0221       +0.225        +0.225        
20            20            +0.1036       -0.0007       +0.1029       +0.1029       
21            21            +0            +0            +0            +0            
22            22            -0.0212       -0.0003       -0.0215       -0.0215       
23            23            +0.0446       -0.0003       +0.0443       +0.0443       
24            24            +0            +0            +0            +0            
25            25            +0            +0            +0            +0            
26            26            +0.068        -0.0002       +0.0678       +0.0678       
27            27            +0.1744       -0.0008       +0.1736       +0.1736       
28            28            +0.0847       -0.0001       +0.0846       +0.0846       
29            29            +0.1878       -0.0067       +0.1811       +0.1811       
30            30            +0.1638       -0.0051       +0.1587       +0.1587       
31            31            +0.1064       -0.0003       +0.1061       +0.1061       
32            32            +0.0001       -0.0016       -0.0015       -0.0015       
33            33            -0.0167       -0.0023       -0.019        -0.019        
34            34            +0.0567       -0.015        +0.0417       +0.0417       
35            35            -0.0555       -0.0163       -0.0718       -0.0718       
36            36            +0.2449       -0.0514       +0.1935       +0.1935       
37            37            -0.451        -0.0238       -0.4748       -0.4748       
38            38            +0.4091       -0.0094       +0.3997       +0.3997       
39            39            +0.2003       -0.0049       +0.1954       +0.1954       
40            40            +0.512        -0.0166       +0.4954       +0.4954       
41            41            -0.2404       -0.0049       -0.2453       -0.2453       
42            42            +0.5294       -0.0178       +0.5116       +0.5116       
43            43            +0.5064       -0.0213       +0.4851       +0.4851       
44            44            +0.1663       -0.0236       +0.1427       +0.1427       
45            45            +0.3285       -0.0072       +0.3213       +0.3213       
46            46            -0.0409       -0.0346       -0.0755       -0.0755       
47            47            -0.1869       -0.0102       -0.1971       -0.1971       
48            48            +0.132        -0.0283       +0.1037       +0.1037       
49            49            -0.1429       -0.0237       -0.1666       -0.1666       
50            50            -0.0602       -0.0281       -0.0883       -0.0883       
51            51            -0.0629       -0.0474       -0.1103       -0.1103       
52            52            +0.0783       -0.0404       +0.0379       +0.0379       
53            53            -0.2286       -0.0497       -0.2783       -0.2783       
54            54            -0.213        -0.0217       -0.2347       -0.2347       
55            55            -0.4584       -0.0227       -0.4811       -0.4811       
56            56            +0.0988       -0.0332       +0.0656       +0.0656       
57            57            -0.3589       -0.0258       -0.3847       -0.3847       
58            58            -0.2222       -0.0439       -0.2661       -0.2661       
59            59            -0.224        -0.0144       -0.2384       -0.2384       
60            60            +0.0193       -0.031        -0.0117       -0.0117       
61            61            -0.0252       -0.0181       -0.0433       -0.0433       
62            62            -0.2208       -0.0182       -0.239        -0.239        
63            63            -0.3668       -0.0184       -0.3852       -0.3852       
64            64            -0.3354       -0.0293       -0.3647       -0.3647       
65            65            -0.0123       -0.0221       -0.0344       -0.0344       
66            66            +0.1677       -0.0254       +0.1423       +0.1423       
67            67            +0.1321       -0.0028       +0.1293       +0.1293       
68            68            +0.1322       -0.0015       +0.1307       +0.1307       
69            69            +0.0916       -0.0001       +0.0915       +0.0915       
70            70            +0            +0            +0            +0            
71            71            +0            +0            +0            +0            
72            72            +0            +0            +0            +0            
73            73            +0.1712       -0.0003       +0.1709       +0.1709       
74            74            +0.0479       -0.0001       +0.0478       +0.0478       
75            75            +0.1705       -0.0007       +0.1698       +0.1698       
76            76            +0.1243       -0.0003       +0.124        +0.124        
77            77            +0.2593       -0.0054       +0.2539       +0.2539       
