Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0.3823       -0.0195       +0.3628       +0.3628       
1             1             +0.7616       -0.0354       +0.7262       +0.7262       
2             2             -0.6489       -0.1329       -0.7818       -0.7818       
3             3             +0.0762       -0.5462       -0.47         -0.47         
4             4             -2.6701       -0.6971       -3.3672       -3.3672       
5             5             +0.6544       -0.1979       +0.4565       +0.4565       
6             6             -4.499        -0.5316       -5.0306       -5.0306       
7             7             -2.6009       -0.8184       -3.4193       -3.4193       
8             8             -2.4499       -1.0507       -3.5006       -3.5006       
9             9             -1.3815       -0.1588       -1.5403       -1.5403       
10            10            -2.1347       -0.1696       -2.3043       -2.3043       
11            11            -2.5646       -0.6841       -3.2487       -3.2487       
12            12            -2.1524       -0.2983       -2.4507       -2.4507       
13            13            -2.6854       -0.2252       -2.9106       -2.9106       
14            14            -0.5506       -0.2132       -0.7638       -0.7638       
15            15            -2.5861       -0.6862       -3.2723       -3.2723       
16            16            -5.0122       -0.7136       -5.7258       -5.7258       
17            17            +1.4993       -0.2854       +1.2139       +1.2139       
18            18            +2.5735       -0.4726       +2.1009       +2.1009       
19            19            -1.0037       -1.054        -2.0577       -2.0577       
20            20            -1.3977       -0.9513       -2.349        -2.349        
21            21            +0.5778       -0.9546       -0.3768       -0.3768       
22            22            -1.52         -0.296        -1.816        -1.816        
23            23            -2.7341       -1.5576       -4.2917       -4.2917       
24            24            -3.3914       -0.6933       -4.0847       -4.0847       
25            25            -2.235        -0.3791       -2.6141       -2.6141       
26            26            -1.1971       -0.0967       -1.2938       -1.2938       
27            27            -1.366        -0.0113       -1.3773       -1.3773       
28            28            -0.4294       -0.0107       -0.4401       -0.4401       
29            29            -0.2954       -0.0079       -0.3033       -0.3033       
30            30            -0.1294       -0.0019       -0.1313       -0.1313       
31            31            -0.2172       -0.0085       -0.2257       -0.2257       
32            32            -0.9616       -0.0127       -0.9743       -0.9743       
33            33            -1.7291       -0.0626       -1.7917       -1.7917       
34            34            -2.0548       -0.1815       -2.2363       -2.2363       
35            35            -0.837        -0.0673       -0.9043       -0.9043       
36            36            -0.8655       -0.3792       -1.2447       -1.2447       
37            37            -1.2039       -0.4795       -1.6834       -1.6834       
38            38            -1.806        -0.3613       -2.1673       -2.1673       
39            39            -1.7088       -0.0499       -1.7587       -1.7587       
40            40            -1.1165       -0.013        -1.1295       -1.1295       
41            41            -1.1942       -0.0965       -1.2907       -1.2907       
42            42            -2.0343       -0.0481       -2.0824       -2.0824       
43            43            -3.6522       -0.1445       -3.7967       -3.7967       
44            44            -2.166        -0.0699       -2.2359       -2.2359       
45            45            -0.1146       -0.0104       -0.125        -0.125        
46            46            -1.7725       -0.0477       -1.8202       -1.8202       
47            47            -1.3884       -0.0784       -1.4668       -1.4668       
48            48            -0.8118       -0.099        -0.9108       -0.9108       
49            49            -0.5357       -0.0808       -0.6165       -0.6165       
50            50            -1.0305       -0.293        -1.3235       -1.3235       
51            51            -1.3357       -0.0595       -1.3952       -1.3952       
52            52            -1.5454       -0.0887       -1.6341       -1.6341       
53            53            -0.9742       -0.0397       -1.0139       -1.0139       
54            54            -1.6313       -0.3569       -1.9882       -1.9882       
55            55            -1.2822       -0.0272       -1.3094       -1.3094       
56            56            -1.8464       -0.0639       -1.9103       -1.9103       
57            57            -1.2398       -0.0158       -1.2556       -1.2556       
58            58            -1.8747       -0.0301       -1.9048       -1.9048       
59            59            -1.2128       -0.0236       -1.2364       -1.2364       
60            60            -0.9152       -0.0102       -0.9254       -0.9254       
61            61            -1.8078       -0.0567       -1.8645       -1.8645       
62            62            -1.1354       -0.0223       -1.1577       -1.1577       
63            63            -0.6847       -0.0065       -0.6912       -0.6912       
64            64            -0.4809       -0.0252       -0.5061       -0.5061       
65            65            -2.0647       -0.222        -2.2867       -2.2867       
66            66            -1.7341       -0.0578       -1.7919       -1.7919       
67            67            -0.3176       -0.1817       -0.4993       -0.4993       
68            68            -0.7782       -0.0284       -0.8066       -0.8066       
69            69            -0.1458       -0.0004       -0.1462       -0.1462       
70            70            -0.3737       -0.006        -0.3797       -0.3797       
71            71            +0            +0            +0            +0            
72            72            +0            +0            +0            +0            
73            73            +0.0531       -0            +0.0531       +0.0531       
74            74            -0.0534       -0            -0.0534       -0.0534       
75            75            +0.0048       -0            +0.0048       +0.0048       
76            76            +0            +0            +0            +0            
77            77            +0.0836       -0.001        +0.0826       +0.0826       
78            78            -0.0742       -0            -0.0742       -0.0742       
79            79            -0.5938       -0.0028       -0.5966       -0.5966       
80            80            -0.237        -0.0015       -0.2385       -0.2385       
81            81            +0.0005       -0.0001       +0.0004       +0.0004       
82            82            -0.0544       -0.0004       -0.0548       -0.0548       
83            83            -0.4058       -0.0139       -0.4197       -0.4197       
84            84            +0.2173       -0.0046       +0.2127       +0.2127       
85            85            -0.3196       -0.0055       -0.3251       -0.3251       
86            86            -1.1828       -0.009        -1.1918       -1.1918       
87            87            -1.2863       -0.0136       -1.2999       -1.2999       
88            88            -0.9202       -0.0079       -0.9281       -0.9281       
89            89            -1.2729       -0.0142       -1.2871       -1.2871       
90            90            -0.1698       -0.0325       -0.2023       -0.2023       
91            91            -0.3046       -0.0129       -0.3175       -0.3175       
92            92            +0.2104       -0.0319       +0.1785       +0.1785       
93            93            -0.6091       -0.0081       -0.6172       -0.6172       
94            94            +0.0885       -0.0199       +0.0686       +0.0686       
95            95            +0.2681       -0.0586       +0.2095       +0.2095       
96            96            +0.1063       -0.0077       +0.0986       +0.0986       
97            97            -0.2172       -0.0016       -0.2188       -0.2188       
98            98            -0.3511       -0.0024       -0.3535       -0.3535       
99            99            +0.02         -0.0071       +0.0129       +0.0129       
100           100           -0.5572       -0.0059       -0.5631       -0.5631       
101           101           -0.7946       -0.0124       -0.807        -0.807        
102           102           -0.942        -0.0099       -0.9519       -0.9519       
103           103           -0.281        -0.01         -0.291        -0.291        
104           104           +0.0851       -0.0269       +0.0582       +0.0582       
105           105           -1.1196       -0.0232       -1.1428       -1.1428       
106           106           -0.1711       -0.0075       -0.1786       -0.1786       
107           107           +0.0793       -0.0162       +0.0631       +0.0631       
108           108           +0.3601       -0.0367       +0.3234       +0.3234       
109           109           +1.2171       -0.0372       +1.1799       +1.1799       
110           110           -0.6729       -0.0028       -0.6757       -0.6757       
111           111           -0.5982       -0.0023       -0.6005       -0.6005       
112           112           +0.1907       -0.0032       +0.1875       +0.1875       
113           113           -0.5618       -0.0225       -0.5843       -0.5843       
114           114           -0.0328       -0.0154       -0.0482       -0.0482       
115           115           +0.0429       -0.0173       +0.0256       +0.0256       
116           116           -1.0155       -0.0235       -1.039        -1.039        
117           117           -0.9575       -0.0104       -0.9679       -0.9679       
118           118           -0.4227       -0.0036       -0.4263       -0.4263       
119           119           -0.7673       -0.0087       -0.776        -0.776        
120           120           -0.8087       -0.007        -0.8157       -0.8157       
