Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -605.95       -121.185      -727.136      -727.136      
1             1             -813.11       -126.217      -939.327      -939.327      
2             2             -762.404      -116.779      -879.183      -879.183      
3             3             -930.639      -138.604      -1069.24      -1069.24      
4             4             -875.003      -116.098      -991.101      -991.101      
5             5             -777.689      -102.846      -880.535      -880.535      
6             6             -831.02       -127.005      -958.025      -958.025      
7             7             -886.012      -133.18       -1019.19      -1019.19      
8             8             -662.199      -110.706      -772.905      -772.905      
9             9             -588.572      -118.804      -707.376      -707.376      
10            10            -724.516      -129.738      -854.254      -854.254      
11            11            -837.54       -103.821      -941.361      -941.361      
12            12            -792.098      -99.6193      -891.718      -891.718      
13            13            -649.62       -90.4341      -740.054      -740.054      
14            14            -627.715      -100.637      -728.352      -728.352      
15            15            -674.113      -95.0706      -769.183      -769.183      
16            16            -716.511      -102.633      -819.144      -819.144      
17            17            -685.383      -99.2534      -784.637      -784.637      
18            18            -844.746      -90.8456      -935.592      -935.592      
19            19            -691.645      -101.65       -793.295      -793.295      
20            20            -784.354      -89.2914      -873.645      -873.645      
21            21            -878.042      -65.4584      -943.5        -943.5        
22            22            -701.504      -78.803       -780.307      -780.307      
23            23            -528.473      -53.1736      -581.646      -581.646      
24            24            -641.088      -55.7998      -696.888      -696.888      
25            25            -413.76       -64.7526      -478.513      -478.513      
26            26            -624.292      -64.0702      -688.362      -688.362      
27            27            -458.745      -66.018       -524.763      -524.763      
28            28            -463.508      -36.2356      -499.743      -499.743      
29            29            -340.323      -41.8176      -382.14       -382.14       
30            30            -490.502      -36.3744      -526.877      -526.877      
31            31            -343.68       -38.281       -381.961      -381.961      
32            32            -441.814      -40.0923      -481.907      -481.907      
33            33            -284.929      -45.478       -330.407      -330.407      
34            34            -155.351      -39.2317      -194.582      -194.582      
35            35            -245.839      -27.7423      -273.582      -273.582      
36            36            -178.315      -37.9176      -216.232      -216.232      
37            37            -88.0358      -30.2237      -118.26       -118.26       
38            38            -218.684      -36.1249      -254.808      -254.808      
39            39            -143.151      -23.8428      -166.993      -166.993      
40            40            -315.801      -33.9626      -349.763      -349.763      
41            41            -237.748      -32.3024      -270.05       -270.05       
42            42            -301.605      -32.8947      -334.499      -334.499      
43            43            -262.444      -30.1737      -292.618      -292.618      
44            44            -349.353      -31.1402      -380.493      -380.493      
45            45            -461.331      -31.2069      -492.538      -492.538      
46            46            -480.768      -46.942       -527.71       -527.71       
47            47            -372.854      -39.3517      -412.206      -412.206      
48            48            -260.333      -34.8587      -295.192      -295.192      
49            49            -190.805      -32.6949      -223.5        -223.5        
50            50            -388.687      -43.6102      -432.297      -432.297      
51            51            -325.191      -36.7965      -361.987      -361.987      
52            52            -350.489      -36.6886      -387.178      -387.178      
53            53            -557.541      -42.0747      -599.616      -599.616      
54            54            -394.833      -56.8481      -451.681      -451.681      
55            55            -267.305      -48.1877      -315.492      -315.492      
56            56            -410.127      -60.5778      -470.705      -470.705      
57            57            -317.546      -55.9773      -373.524      -373.524      
58            58            -469.867      -49.5188      -519.385      -519.385      
59            59            -494.043      -60.2608      -554.304      -554.304      
60            60            -478.076      -56.8892      -534.965      -534.965      
61            61            -465.518      -44.9684      -510.487      -510.487      
62            62            -572.372      -47.1552      -619.527      -619.527      
63            63            -375.571      -40.152       -415.723      -415.723      
64            64            -416.894      -52.3784      -469.272      -469.272      
65            65            -335.095      -49.2468      -384.342      -384.342      
66            66            -327.246      -44.1958      -371.442      -371.442      
67            67            -230.386      -40.7996      -271.185      -271.185      
68            68            -235.939      -39.8715      -275.81       -275.81       
69            69            -375.057      -46.0933      -421.15       -421.15       
70            70            -285.68       -47.9112      -333.591      -333.591      
71            71            -476.062      -43.9805      -520.042      -520.042      
72            72            -413.318      -57.2805      -470.599      -470.599      
73            73            -375.388      -37.0333      -412.421      -412.421      
74            74            -344.406      -63.2686      -407.675      -407.675      
75            75            -305.615      -64.8936      -370.508      -370.508      
76            76            -548.286      -58.2988      -606.585      -606.585      
77            77            -343.456      -78.9587      -422.415      -422.415      
78            78            -465.826      -67.069       -532.895      -532.895      
79            79            -555.232      -67.0949      -622.327      -622.327      
80            80            -459.707      -75.5855      -535.292      -535.292      
81            81            -486.516      -63.5616      -550.077      -550.077      
82            82            -350.421      -58.5702      -408.991      -408.991      
83            83            -419.189      -52.5194      -471.708      -471.708      
84            84            -497.236      -43.6729      -540.909      -540.909      
85            85            -614.445      -58.4789      -672.923      -672.923      
86            86            -623.854      -60.4692      -684.323      -684.323      
87            87            -299.175      -54.2257      -353.401      -353.401      
88            88            -179.817      -37.8455      -217.663      -217.663      
89            89            -381.45       -32.6028      -414.052      -414.052      
90            90            -340.919      -42.2336      -383.153      -383.153      
91            91            -456.075      -33.8708      -489.946      -489.946      
92            92            -337.8        -33.9649      -371.765      -371.765      
93            93            -264.673      -38.4363      -303.109      -303.109      
94            94            -211.91       -27.6394      -239.549      -239.549      
95            95            -210.692      -35.0964      -245.789      -245.789      
96            96            -225.278      -23.7224      -249.001      -249.001      
97            97            -166.534      -36.3838      -202.918      -202.918      
98            98            -262.047      -36.1724      -298.219      -298.219      
99            99            -185.883      -27.0544      -212.937      -212.937      
100           100           -121.265      -26.709       -147.974      -147.974      
101           101           -0.0698       -17.5939      -17.6637      -17.6637      
102           102           -143.839      -24.6975      -168.537      -168.537      
103           103           -97.6576      -28.7853      -126.443      -126.443      
