Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0.1945       -0            +0.1945       +0.1945       
1             1             +0.516        -0.0004       +0.5156       +0.5156       
2             2             +1.1511       -0.0052       +1.1459       +1.1459       
3             3             +2.0423       -0.0041       +2.0382       +2.0382       
4             4             +1.363        -0.0146       +1.3484       +1.3484       
5             5             +3.7942       -0.0074       +3.7868       +3.7868       
6             6             +15.4786      -0.1388       +15.3398      +15.3398      
7             7             +5.5991       -0.0342       +5.5649       +5.5649       
8             8             -2.2623       -0.0686       -2.3309       -2.3309       
9             9             +0.6742       -0.0001       +0.6741       +0.6741       
10            10            +3.8014       -0.0091       +3.7923       +3.7923       
11            11            -0.6816       -0.0047       -0.6863       -0.6863       
12            12            -0.5413       -0.0001       -0.5414       -0.5414       
13            13            +2.5637       -0.0011       +2.5626       +2.5626       
14            14            +3.2438       -0.0064       +3.2374       +3.2374       
15            15            +1.4949       -0.001        +1.4939       +1.4939       
16            16            +2.3084       -0.0061       +2.3023       +2.3023       
17            17            +1.5472       -0.0033       +1.5439       +1.5439       
18            18            +1.1813       -0.0003       +1.181        +1.181        
19            19            -4.3044       -0.083        -4.3874       -4.3874       
20            20            -4.5514       -0.0109       -4.5623       -4.5623       
21            21            -7.9737       -0.0354       -8.0091       -8.0091       
22            22            -0.1319       -0.0026       -0.1345       -0.1345       
23            23            -5.1265       -0.0081       -5.1346       -5.1346       
24            24            -1.3737       -0.0038       -1.3775       -1.3775       
25            25            +1.0713       -0.0045       +1.0668       +1.0668       
26            26            -0.2553       -0.0001       -0.2554       -0.2554       
27            27            -0.7016       -0.0011       -0.7027       -0.7027       
28            28            -0.2849       -0.0001       -0.285        -0.285        
29            29            -0.5485       -0.0005       -0.549        -0.549        
30            30            -11.4907      -0.0308       -11.5215      -11.5215      
31            31            -7.8002       -0.0265       -7.8267       -7.8267       
32            32            +0.1233       -0            +0.1233       +0.1233       
33            33            +0.8818       -0.0091       +0.8727       +0.8727       
34            34            -0.2624       -0            -0.2624       -0.2624       
35            35            -7.3641       -0.0194       -7.3835       -7.3835       
36            36            -1.6387       -0.0008       -1.6395       -1.6395       
37            37            -2.4424       -0.0037       -2.4461       -2.4461       
38            38            +0.9915       -0.0101       +0.9814       +0.9814       
39            39            -2.7917       -0.0151       -2.8068       -2.8068       
40            40            -8.3883       -0.0641       -8.4524       -8.4524       
41            41            -2.462        -0.0352       -2.4972       -2.4972       
42            42            -1.2218       -0.0012       -1.223        -1.223        
43            43            -3.3626       -0.0067       -3.3693       -3.3693       
44            44            -1.1505       -0.0016       -1.1521       -1.1521       
45            45            +0.1109       -0.0017       +0.1092       +0.1092       
46            46            -2.7282       -0.003        -2.7312       -2.7312       
47            47            -1.1487       -0.0002       -1.1489       -1.1489       
48            48            -1.739        -0.004        -1.743        -1.743        
49            49            +0.9561       -0.0079       +0.9482       +0.9482       
50            50            -1.6415       -0.0018       -1.6433       -1.6433       
51            51            +1.4992       -0.0006       +1.4986       +1.4986       
52            52            +1.7745       -0.0041       +1.7704       +1.7704       
53            53            -0.7161       -0.0253       -0.7414       -0.7414       
54            54            +0.014        -0            +0.014        +0.014        
55            55            +0            +0            +0            +0            
56            56            -0.1408       -0            -0.1408       -0.1408       
57            57            +0.0175       -0            +0.0175       +0.0175       
58            58            -0.0058       -0            -0.0058       -0.0058       
59            59            +0            +0            +0            +0            
60            60            +0            +0            +0            +0            
61            61            +0            +0            +0            +0            
62            62            +0            +0            +0            +0            
63            63            +0            +0            +0            +0            
64            64            +0            +0            +0            +0            
65            65            +0            +0            +0            +0            
66            66            +0            +0            +0            +0            
67            67            +0.0028       -0            +0.0028       +0.0028       
68            68            +0            +0            +0            +0            
69            69            +0            +0            +0            +0            
70            70            +0            +0            +0            +0            
71            71            +0            +0            +0            +0            
72            72            +0.0055       -0            +0.0055       +0.0055       
73            73            +0            +0            +0            +0            
74            74            +0            +0            +0            +0            
75            75            +0            +0            +0            +0            
76            76            -0.2399       -0            -0.2399       -0.2399       
77            77            +0            +0            +0            +0            
78            78            +0            +0            +0            +0            
79            79            +0            +0            +0            +0            
80            80            +0            +0            +0            +0            
81            81            +0            +0            +0            +0            
82            82            +0            +0            +0            +0            
83            83            +0            +0            +0            +0            
84            84            +0            +0            +0            +0            
85            85            +0            +0            +0            +0            
86            86            +0            +0            +0            +0            
87            87            +0            +0            +0            +0            
88            88            +0            +0            +0            +0            
89            89            +0            +0            +0            +0            
90            90            +0            +0            +0            +0            
91            91            +0            +0            +0            +0            
92            92            +0            +0            +0            +0            
93            93            +0            +0            +0            +0            
94            94            +0            +0            +0            +0            
95            95            +0            +0            +0            +0            
96            96            +0            +0            +0            +0            
97            97            +0            +0            +0            +0            
98            98            +0            +0            +0            +0            
99            99            +0            +0            +0            +0            
100           100           +0            +0            +0            +0            
101           101           +0            +0            +0            +0            
102           102           +0            +0            +0            +0            
103           103           +0            +0            +0            +0            
104           104           +0            +0            +0            +0            
105           105           +0            +0            +0            +0            
106           106           +0            +0            +0            +0            
107           107           +0            +0            +0            +0            
108           108           +0            +0            +0            +0            
109           109           +0            +0            +0            +0            
110           110           +0            +0            +0            +0            
