Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +1.1142       -2.7289       -1.6147       -1.6147       
1             1             +2.1317       -1.7417       +0.39         +0.39         
2             2             -0.8451       -3.8074       -4.6525       -4.6525       
3             3             +1.3628       -0.2756       +1.0872       +1.0872       
4             4             +1.2487       -0.0928       +1.1559       +1.1559       
5             5             +1.7107       -0.2025       +1.5082       +1.5082       
6             6             +0.0803       -0.4021       -0.3218       -0.3218       
7             7             +0.4139       -0.0756       +0.3383       +0.3383       
8             8             +0.4711       -0.0066       +0.4645       +0.4645       
9             9             +0.0103       -0            +0.0103       +0.0103       
10            10            +0.6543       -0.0181       +0.6362       +0.6362       
11            11            +0.3174       -0.0022       +0.3152       +0.3152       
12            12            +0.3529       -0.0075       +0.3454       +0.3454       
13            13            +0.1291       -0.0062       +0.1229       +0.1229       
14            14            +0.243        -0.0241       +0.2189       +0.2189       
15            15            +0.3522       -0.0152       +0.337        +0.337        
16            16            +0.0786       -0.0005       +0.0781       +0.0781       
17            17            +0.0654       -0.0002       +0.0652       +0.0652       
18            18            +0.2779       -0.0032       +0.2747       +0.2747       
19            19            +0.2419       -0.0014       +0.2405       +0.2405       
20            20            -0.0017       -0.0001       -0.0018       -0.0018       
21            21            -0.9837       -0.3943       -1.378        -1.378        
22            22            +0.614        -6.9524       -6.3384       -6.3384       
23            23            -1.8648       -0.7253       -2.5901       -2.5901       
24            24            -1.7704       -0.3166       -2.087        -2.087        
25            25            +0.5254       -0.0825       +0.4429       +0.4429       
26            26            +2.1434       -1.9567       +0.1867       +0.1867       
27            27            -5.5559       -5.6817       -11.2376      -11.2376      
28            28            -3.8751       -4.8369       -8.712        -8.712        
29            29            -1.716        -2.5746       -4.2906       -4.2906       
30            30            +5.0986       -1.4082       +3.6904       +3.6904       
31            31            -4.0446       -2.8989       -6.9435       -6.9435       
32            32            -0.917        -2.9057       -3.8227       -3.8227       
33            33            -3.0823       -3.2106       -6.2929       -6.2929       
34            34            -2.3576       -4.3262       -6.6838       -6.6838       
35            35            +2.0464       -2.2564       -0.21         -0.21         
36            36            -0.1518       -2.6674       -2.8192       -2.8192       
37            37            -0.1699       -0.7848       -0.9547       -0.9547       
38            38            -0.2237       -1.423        -1.6467       -1.6467       
39            39            -4.5615       -3.5382       -8.0997       -8.0997       
40            40            -0.6719       -4.7356       -5.4075       -5.4075       
41            41            -3.2239       -1.6915       -4.9154       -4.9154       
42            42            -3.5424       -4.1511       -7.6935       -7.6935       
43            43            -3.0143       -5.1703       -8.1846       -8.1846       
44            44            -0.7279       -2.198        -2.9259       -2.9259       
45            45            -0.1117       -4.3638       -4.4755       -4.4755       
46            46            -2.0362       -3.2471       -5.2833       -5.2833       
47            47            -1.6949       -3.3684       -5.0633       -5.0633       
48            48            +1.7611       -3.1977       -1.4366       -1.4366       
49            49            -3.4045       -2.673        -6.0775       -6.0775       
50            50            +0.4387       -1.847        -1.4083       -1.4083       
51            51            -6.131        -4.2723       -10.4033      -10.4033      
52            52            -4.9361       -4.7096       -9.6457       -9.6457       
53            53            +2.9997       -0.2131       +2.7866       +2.7866       
54            54            +0.5277       -1.4544       -0.9267       -0.9267       
55            55            -3.4951       -4.5549       -8.05         -8.05         
56            56            -3.1162       -7.0613       -10.1775      -10.1775      
57            57            +1.2086       -3.5374       -2.3288       -2.3288       
58            58            -0.1041       -4.1306       -4.2347       -4.2347       
59            59            -12.9986      -4.8276       -17.8262      -17.8262      
60            60            -8.3424       -6.0037       -14.3461      -14.3461      
61            61            -5.3422       -6.9964       -12.3386      -12.3386      
62            62            -10.427       -5.5469       -15.9739      -15.9739      
63            63            -6.1975       -7.0559       -13.2534      -13.2534      
64            64            -5.034        -10.1776      -15.2116      -15.2116      
65            65            -3.7842       -3.8078       -7.592        -7.592        
66            66            -2.3836       -4.2196       -6.6032       -6.6032       
67            67            -7.8491       -10.5142      -18.3633      -18.3633      
68            68            -5.6056       -8.3378       -13.9434      -13.9434      
69            69            -3.7704       -13.16        -16.9304      -16.9304      
70            70            +0.3223       -10.1951      -9.8728       -9.8728       
