Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +6.5319       -4.4282       +2.1037       +2.1037       
1             1             +56.0332      -5.6426       +50.3906      +50.3906      
2             2             -40.9755      -13.8194      -54.7949      -54.7949      
3             3             -127.035      -11.0296      -138.064      -138.064      
4             4             -112.839      -11.9798      -124.818      -124.818      
5             5             -93.2259      -23.7348      -116.961      -116.961      
6             6             -71.0018      -27.7882      -98.79        -98.79        
7             7             -119.288      -23.9958      -143.284      -143.284      
8             8             -69.7943      -5.9256       -75.7199      -75.7199      
9             9             -23.8743      -1.7643       -25.6386      -25.6386      
10            10            -52.2315      -0.1981       -52.4296      -52.4296      
11            11            -82.6307      +0.7242       -81.9065      -81.9065      
12            12            -149.924      +1.2885       -148.635      -148.635      
13            13            -161.825      -2.1572       -163.982      -163.982      
14            14            -82.171       -5.8201       -87.9911      -87.9911      
15            15            -194.277      +0.2181       -194.059      -194.059      
16            16            -194.295      -15.5509      -209.846      -209.846      
17            17            -101.318      -8.7267       -110.044      -110.044      
18            18            -103.421      -24.2308      -127.652      -127.652      
19            19            -107.588      -23.395       -130.983      -130.983      
20            20            -88.8101      -28.1105      -116.921      -116.921      
21            21            -147.101      -18.007       -165.108      -165.108      
22            22            -123.427      -29.399       -152.827      -152.827      
23            23            -150.093      -35.0937      -185.187      -185.187      
24            24            -120.884      -24.5179      -145.402      -145.402      
25            25            -86.4919      -19.7478      -106.24       -106.24       
26            26            -139.988      -30.159       -170.147      -170.147      
27            27            -79.1959      -32.6045      -111.8        -111.8        
28            28            -50.8743      -27.9366      -78.8109      -78.8109      
29            29            -128.679      -35.8235      -164.503      -164.503      
30            30            -116.819      -33.2045      -150.024      -150.024      
31            31            -98.9346      -30.4292      -129.364      -129.364      
32            32            -41.4602      -32.4567      -73.9169      -73.9169      
33            33            -156.708      -33.6645      -190.372      -190.372      
34            34            -115.643      -37.6285      -153.272      -153.272      
35            35            -123.277      -42.453       -165.73       -165.73       
36            36            -242.334      -35.7288      -278.063      -278.063      
37            37            -148.229      -36.4177      -184.647      -184.647      
38            38            -206.823      -36.7296      -243.553      -243.553      
39            39            -205.137      -31.0935      -236.231      -236.231      
40            40            -179.952      -30.2929      -210.245      -210.245      
41            41            -108.842      -34.4219      -143.264      -143.264      
42            42            -132.405      -32.2358      -164.641      -164.641      
43            43            -116.705      -36.3111      -153.016      -153.016      
44            44            -3.0812       -30.0882      -33.1694      -33.1694      
45            45            -137.829      -37.4831      -175.312      -175.312      
46            46            -111.058      -32.6144      -143.673      -143.673      
47            47            -125.34       -35.5371      -160.877      -160.877      
48            48            -112.565      -33.6838      -146.249      -146.249      
49            49            -135.787      -25.8782      -161.666      -161.666      
