Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -2.145        -0.0051       -2.1501       -2.1501       
1             1             -0.4771       -0.0003       -0.4774       -0.4774       
2             2             +0.3877       -0.0005       +0.3872       +0.3872       
3             3             +8.0675       -0.0392       +8.0283       +8.0283       
4             4             +2.2662       -0.0724       +2.1938       +2.1938       
5             5             -4.3701       -0.0621       -4.4322       -4.4322       
6             6             -0.5483       -0.0614       -0.6097       -0.6097       
7             7             -1.1305       -0.0566       -1.1871       -1.1871       
8             8             -1.2746       -0.0618       -1.3364       -1.3364       
9             9             -11.2587      -0.1076       -11.3663      -11.3663      
10            10            +2.3122       -0.0765       +2.2357       +2.2357       
11            11            +0.1293       -0.0215       +0.1078       +0.1078       
12            12            -0.0092       -0.0093       -0.0185       -0.0185       
13            13            -0.3313       -0.0012       -0.3325       -0.3325       
14            14            -2.8608       -0.0148       -2.8756       -2.8756       
15            15            -21.0465      -0.0541       -21.1006      -21.1006      
16            16            -20.7401      -0.0897       -20.8298      -20.8298      
17            17            -0.0411       -0.0002       -0.0413       -0.0413       
18            18            -0.2539       -0.0004       -0.2543       -0.2543       
19            19            -0.1116       -0.0025       -0.1141       -0.1141       
20            20            -0.0814       -0.0003       -0.0817       -0.0817       
21            21            +0.4368       -0.0015       +0.4353       +0.4353       
22            22            +21.3462      -0.0673       +21.2789      +21.2789      
23            23            +9.5265       -0.0429       +9.4836       +9.4836       
24            24            +35.7121      -0.2531       +35.459       +35.459       
25            25            +48.8227      -0.4516       +48.3711      +48.3711      
26            26            +19.3797      -0.2299       +19.1498      +19.1498      
27            27            +36.8671      -0.487        +36.3801      +36.3801      
28            28            +47.1481      -0.4673       +46.6808      +46.6808      
29            29            +43.6537      -0.3224       +43.3313      +43.3313      
30            30            +40.6895      -0.9599       +39.7296      +39.7296      
31            31            +47.3828      -0.9194       +46.4634      +46.4634      
32            32            +48.941       -0.7567       +48.1843      +48.1843      
33            33            +31.4713      -0.7603       +30.711       +30.711       
34            34            +39.672       -0.5902       +39.0818      +39.0818      
