Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +3.5322       -5.1932       -1.661        -1.661        
1             1             +0.0488       -12.497       -12.4482      -12.4482      
2             2             -5.1793       -5.6126       -10.7919      -10.7919      
3             3             -6.6666       -4.8045       -11.4711      -11.4711      
4             4             -0.4476       -8.1918       -8.6394       -8.6394       
5             5             +1.8005       -7.2965       -5.496        -5.496        
6             6             +3.2162       -6.2517       -3.0355       -3.0355       
7             7             +2.2244       -5.4441       -3.2197       -3.2197       
8             8             +3.2155       -7.7121       -4.4966       -4.4966       
9             9             -0.6826       -10.8856      -11.5682      -11.5682      
10            10            -2.2502       -12.6416      -14.8918      -14.8918      
11            11            -11.6833      -9.4521       -21.1354      -21.1354      
12            12            +2.3629       -10.2175      -7.8546       -7.8546       
13            13            -0.7758       -8.3926       -9.1684       -9.1684       
14            14            +0.5498       -9.2547       -8.7049       -8.7049       
15            15            -13.4006      -8.8422       -22.2428      -22.2428      
16            16            -16.7647      -10.3121      -27.0768      -27.0768      
17            17            -11.1099      -6.4805       -17.5904      -17.5904      
18            18            +1.3304       -9.0918       -7.7614       -7.7614       
19            19            +0.2885       -8.7016       -8.4131       -8.4131       
20            20            +3.1696       -3.9385       -0.7689       -0.7689       
21            21            +1.2966       -2.8351       -1.5385       -1.5385       
22            22            +4.0159       -1.0422       +2.9737       +2.9737       
23            23            +3.7411       -1.3554       +2.3857       +2.3857       
24            24            +2.1363       -1.2213       +0.915        +0.915        
25            25            +3.0764       -1.8483       +1.2281       +1.2281       
26            26            +2.7508       -3.844        -1.0932       -1.0932       
27            27            -25.0242      -5.8845       -30.9087      -30.9087      
28            28            -6.4873       -4.6014       -11.0887      -11.0887      
29            29            -14.2616      -11.8403      -26.1019      -26.1019      
30            30            -8.9619       -10.4884      -19.4503      -19.4503      
31            31            -7.5801       -11.5101      -19.0902      -19.0902      
32            32            +1.3719       -11.9044      -10.5325      -10.5325      
33            33            +0.8952       -12.6423      -11.7471      -11.7471      
34            34            -9.1758       -12.6444      -21.8202      -21.8202      
35            35            -1.5424       -11.8297      -13.3721      -13.3721      
36            36            +0.7419       -13.1232      -12.3813      -12.3813      
37            37            -0.2183       -12.3985      -12.6168      -12.6168      
38            38            -0.3102       -11.9945      -12.3047      -12.3047      
39            39            +1.6353       -12.8826      -11.2473      -11.2473      
40            40            -1.2478       -10.1703      -11.4181      -11.4181      
41            41            -3.2737       -10.945       -14.2187      -14.2187      
42            42            -2.6351       -15.8994      -18.5345      -18.5345      
43            43            -3.7206       -14.658       -18.3786      -18.3786      
44            44            -5.0274       -10.9464      -15.9738      -15.9738      
45            45            -7.2753       -14.4755      -21.7508      -21.7508      
46            46            -2.8023       -15.4599      -18.2622      -18.2622      
47            47            -4.3524       -13.8174      -18.1698      -18.1698      
48            48            +1.468        -12.831       -11.363       -11.363       
49            49            -1.1179       -10.9776      -12.0955      -12.0955      
50            50            -1.4192       -12.7731      -14.1923      -14.1923      
51            51            -4.017        -11.9665      -15.9835      -15.9835      
52            52            -0.5484       -9.1016       -9.65         -9.65         
53            53            -5.577        -12.6914      -18.2684      -18.2684      
54            54            +2.9713       -11.5599      -8.5886       -8.5886       
55            55            -8.4041       -15.665       -24.0691      -24.0691      
56            56            -8.3008       -15.3075      -23.6083      -23.6083      
57            57            -4.1904       -10.4686      -14.659       -14.659       
58            58            -2.5209       -15.37        -17.8909      -17.8909      
59            59            -3.9219       -12.7459      -16.6678      -16.6678      
60            60            -4.0718       -16.631       -20.7028      -20.7028      
61            61            -11.0629      -15.4538      -26.5167      -26.5167      
62            62            -7.5087       -11.7165      -19.2252      -19.2252      
63            63            -4.1037       -13.5034      -17.6071      -17.6071      
64            64            +4.622        -15.8094      -11.1874      -11.1874      
65            65            -3.6848       -10.659       -14.3438      -14.3438      
66            66            -0.1822       -9.6606       -9.8428       -9.8428       
67            67            -2.6564       -10.8881      -13.5445      -13.5445      
68            68            -0.0468       -3.2714       -3.3182       -3.3182       
69            69            -1.3672       -5.8594       -7.2266       -7.2266       
70            70            +0.1442       -3.0875       -2.9433       -2.9433       
71            71            -17.5313      -5.1683       -22.6996      -22.6996      
72            72            -6.0565       -2.8195       -8.876        -8.876        
73            73            -16.0526      -7.5092       -23.5618      -23.5618      
74            74            -4.828        -8.454        -13.282       -13.282       
75            75            -9.1956       -6.4044       -15.6         -15.6         
76            76            -8.4525       -7.6568       -16.1093      -16.1093      
77            77            -3.4765       -11.5021      -14.9786      -14.9786      
78            78            -4.4401       -5.732        -10.1721      -10.1721      
79            79            -6.2269       -10.3567      -16.5836      -16.5836      
80            80            -3.9797       -6.1202       -10.0999      -10.0999      
81            81            -16.0342      -3.1416       -19.1758      -19.1758      
82            82            -4.6569       -9.4789       -14.1358      -14.1358      
83            83            -5.885        -5.4088       -11.2938      -11.2938      
84            84            -5.0433       -0.6706       -5.7139       -5.7139       
85            85            -10.1909      -6.374        -16.5649      -16.5649      
86            86            -7.5807       -10.7565      -18.3372      -18.3372      
87            87            -13.1171      -12.0787      -25.1958      -25.1958      
88            88            -13.2081      -12.7628      -25.9709      -25.9709      
89            89            -19.9179      -14.4935      -34.4114      -34.4114      
90            90            -8.6405       -14.603       -23.2435      -23.2435      
91            91            -1.6305       -12.9723      -14.6028      -14.6028      
92            92            -1.9987       -14.0267      -16.0254      -16.0254      
93            93            -15.2324      -14.8678      -30.1002      -30.1002      
94            94            -12.5154      -10.0793      -22.5947      -22.5947      
