Frame	Time	Elec	VdW	Nonbond
0	0	-19.2712	-1.3765	-20.6477
1	0.2	-13.5597	-5.9792	-19.5389
2	0.4	-5.3398	-3.6677	-9.0075
3	0.6	1.8348	-4.514	-2.6792
4	0.8	3.1048	-4.076	-0.9712
5	1	-3.6967	-4.8997	-8.5964
6	1.2	-3.9866	-3.9917	-7.9783
7	1.4	-18.7395	-3.0758	-21.8153
8	1.6	-0.6111	-6.3004	-6.9115
9	1.8	-0.3688	-3.6237	-3.9925
10	2	-7.5784	-3.3046	-10.883
11	2.2	-5.409	-2.172	-7.581
12	2.4	-4.6639	-1.8298	-6.4937
13	2.6	0.3983	-0.5549	-0.1566
14	2.8	-8.0877	-2.3923	-10.48
15	3	-8.6341	-1.2082	-9.8423
16	3.2	-7.4352	-4.3817	-11.8169
17	3.4	-10.9408	-1.8897	-12.8305
18	3.6	-13.9173	-4.2834	-18.2007
19	3.8	-10.4271	-3.2532	-13.6803
20	4	0.0221	-2.1123	-2.0902
21	4.2	-7.9046	-0.4801	-8.3847
22	4.4	-11.8518	-4.2683	-16.1201
23	4.6	1.8542	-0.4894	1.3648
24	4.8	-1.4015	-0.613	-2.0145
25	5	-3.1125	-2.4305	-5.543
26	5.2	-9.5281	-0.5313	-10.0594
27	5.4	-22.7777	-5.0245	-27.8022
28	5.6	-14.866	-5.107	-19.973
29	5.8	-5.8403	-2.9471	-8.7874
30	6	-6.3768	-0.5024	-6.8792
31	6.2	-18.8053	-2.5994	-21.4047
32	6.4	-7.4593	-4.7455	-12.2048
33	6.6	-23.8021	-3.0917	-26.8938
34	6.8	-4.2405	-2.0871	-6.3276
35	7	-15.2648	-2.9415	-18.2063
36	7.2	-6.0871	-3.8274	-9.9145
37	7.4	-15.5268	-2.5004	-18.0272
38	7.6	-22.0125	-4.5535	-26.566
39	7.8	-13.7058	-4.2716	-17.9774
40	8	-23.2244	-3.2934	-26.5178
41	8.2	0.1878	-3.3541	-3.1663
42	8.4	-5.9404	-3.9591	-9.8995
43	8.6	-22.3823	-4.6637	-27.046
44	8.8	-14.9549	-2.6427	-17.5976
45	9	-45.2726	-7.8795	-53.1521
46	9.2	-27.4228	-7.3571	-34.7799
47	9.4	-16.7372	-4.1061	-20.8433
48	9.6	-6.7227	-2.7879	-9.5106
49	9.8	-9.5367	-5.409	-14.9457
50	10	-2.8769	-1.4766	-4.3535
51	10.2	4.0054	-0.6782	3.3272
52	10.4	1.8355	-0.2968	1.5387
53	10.6	-3.6888	-4.6954	-8.3842
54	10.8	0.66	-0.3476	0.3124
55	11	-6.4819	-3.1882	-9.6701
56	11.2	-1.4428	-1.6321	-3.0749
57	11.4	-9.518	-5.673	-15.191
58	11.6	-1.0122	-3.7831	-4.7953
59	11.8	1.7342	-2.6862	-0.952
60	12	0.598	-3.7627	-3.1647
61	12.2	1.2186	-2.6788	-1.4602
62	12.4	-12.7518	-7.1644	-19.9162
63	12.6	2.3522	-4.4186	-2.0664
64	12.8	-29.1724	-4.7083	-33.8807
65	13	-1.9563	-3.2239	-5.1802
66	13.2	-5.3453	-0.4349	-5.7802
67	13.4	-1.5382	-0.7618	-2.3
68	13.6	-1.2248	-0.1096	-1.3344
69	13.8	-0.5824	-0.0715	-0.6539
70	14	-0.5983	-0.0252	-0.6235
71	14.2	-3.5755	-0.1253	-3.7008
72	14.4	-0.351	-0.0518	-0.4028
73	14.6	-3.1056	-0.3639	-3.4695
74	14.8	-1.0347	-0.3733	-1.408
75	15	-4.4608	-0.4232	-4.884
76	15.2	-4.5989	-0.4898	-5.0887
77	15.4	-4.9748	-0.4841	-5.4589
78	15.6	-0.9192	-0.1769	-1.0961
79	15.8	2.1072	-0.468	1.6392
80	16	-5.9515	-0.4104	-6.3619
81	16.2	-1.0377	-0.0534	-1.0911
82	16.4	1.1402	-0.1388	1.0014
83	16.6	0.866	-0.0278	0.8382
84	16.8	-0.1362	-0.0074	-0.1436
85	17	1.4491	-0.1033	1.3458
86	17.2	0.6592	-0.0991	0.5601
87	17.4	-1.7739	-0.6241	-2.398
88	17.6	-2.2329	-0.9512	-3.1841
89	17.8	-0.6151	-0.3527	-0.9678
90	18	0.3179	-0.4607	-0.1428
91	18.2	0.5757	-0.1855	0.3902
92	18.4	0.0984	-0.1187	-0.0203
93	18.6	0.7159	-0.122	0.5939
94	18.8	0.2343	-0.096	0.1383
95	19	0.7914	-0.0998	0.6916
96	19.2	-1.1318	-0.3293	-1.4611
97	19.4	0.422	-0.3466	0.0754
98	19.6	-6.2801	-1.3535	-7.6336
99	19.8	0.5638	-0.6337	-0.0699
100	20	-1.0416	-0.4294	-1.471
101	20.2	-0.6545	-0.6201	-1.2746
102	20.4	-5.5613	-2.1953	-7.7566
103	20.6	-0.6309	-0.1687	-0.7996
104	20.8	0.6087	-0.1743	0.4344
105	21	-1.0284	-0.3198	-1.3482
106	21.2	-0.8168	-0.2664	-1.0832
107	21.4	-0.51	-0.6472	-1.1572
108	21.6	-1.2865	-0.2788	-1.5653
109	21.8	-0.1622	-0.143	-0.3052
110	22	-0.6835	-0.3483	-1.0318
111	22.2	-1.1085	-0.0651	-1.1736
112	22.4	0.7437	-0.0855	0.6582
113	22.6	-0.2396	-0.0861	-0.3257
114	22.8	-6.0397	-2.593	-8.6327
115	23	0.6622	-1.5164	-0.8542
116	23.2	-6.0018	-2.9678	-8.9696
117	23.4	-5.4159	-2.431	-7.8469
118	23.6	-0.063	-1.8329	-1.8959
119	23.8	-7.3296	-1.6182	-8.9478
120	24	0.207	-0.7129	-0.5059
121	24.2	-1.1172	-0.6713	-1.7885
122	24.4	1.5771	-2.1212	-0.5441
123	24.6	-2.8991	-0.5711	-3.4702
124	24.8	-0.0905	-1.6622	-1.7527
125	25	-7.8137	-2.0501	-9.8638
126	25.2	-4.3693	-2.1065	-6.4758
127	25.4	1.718	-0.9914	0.7266
128	25.6	0.2798	-0.5497	-0.2699
129	25.8	-0.4439	-1.475	-1.9189
130	26	-1.6892	-2.1782	-3.8674
131	26.2	-3.2785	-2.2246	-5.5031
132	26.4	-2.8913	-1.9273	-4.8186
133	26.6	1.4035	-1.7261	-0.3226
134	26.8	0.1569	-2.0197	-1.8628
135	27	-15.3823	2.156	-13.2263
136	27.2	-20.6635	0.2426	-20.4209
137	27.4	-13.1456	-2.4093	-15.5549
138	27.6	-1.8165	-1.6089	-3.4254
139	27.8	-1.4811	-1.7265	-3.2076
140	28	-8.0902	-1.5523	-9.6425
141	28.2	0.46	-1.4529	-0.9929
142	28.4	0.884	-1.8832	-0.9992
143	28.6	-3.8452	-2.2338	-6.079
144	28.8	0.8552	-1.4688	-0.6136
145	29	-2.0847	-1.3592	-3.4439
146	29.2	-1.9496	-1.4796	-3.4292
147	29.4	-0.7703	-1.7861	-2.5564
148	29.6	-9.6393	-1.9627	-11.602
149	29.8	-1.0602	-2.4011	-3.4613
150	30	0.8778	-2.8968	-2.019
151	30.2	-3.5366	-1.5639	-5.1005
152	30.4	0.5277	-2.826	-2.2983
153	30.6	0.5362	-2.7073	-2.1711
154	30.8	1.3075	-2.6874	-1.3799
155	31	1.2855	-1.7883	-0.5028
156	31.2	1.3618	-1.5533	-0.1915
157	31.4	0.7573	-1.0516	-0.2943
158	31.6	0.1868	-0.2494	-0.0626
159	31.8	1.0298	-1.2912	-0.2614
160	32	-2.1161	-1.5594	-3.6755
161	32.2	-2.4517	-1.6224	-4.0741
162	32.4	0.6304	-0.4252	0.2052
163	32.6	-1.104	-1.3575	-2.4615
164	32.8	0.2561	-0.3859	-0.1298
165	33	0.7155	-1.0072	-0.2917
166	33.2	0.741	-1.2531	-0.5121
167	33.4	-0.4127	-2.3215	-2.7342
168	33.6	-1.4149	-1.5169	-2.9318
169	33.8	-0.3475	-0.2193	-0.5668
170	34	-0.8617	-0.1029	-0.9646
171	34.2	0.1546	-0.499	-0.3444
172	34.4	-0.295	-0.2508	-0.5458
173	34.6	-0.1773	-1.5594	-1.7367
174	34.8	-0.2106	-1.5717	-1.7823
175	35	-3.3395	-2.2446	-5.5841
176	35.2	-3.7978	-1.943	-5.7408
177	35.4	1.61	-0.34	1.27
178	35.6	-1.2718	-0.8531	-2.1249
179	35.8	-2.398	-1.9987	-4.3967
180	36	-0.3977	-2.9358	-3.3335
181	36.2	-1.2355	-0.7835	-2.019
182	36.4	0.3319	-0.1097	0.2222
183	36.6	1.4454	-0.0758	1.3696
184	36.8	1.0918	-0.0245	1.0673
185	37	0.8011	-0.1564	0.6447
186	37.2	0.3796	-0.1229	0.2567
187	37.4	-0.9083	-0.6799	-1.5882
188	37.6	-2.4022	-0.6655	-3.0677
189	37.8	-0.4366	-0.4674	-0.904
190	38	-0.5478	-0.5139	-1.0617
191	38.2	-1.3191	-0.1452	-1.4643
192	38.4	-0.2837	-0.4592	-0.7429
193	38.6	-0.7659	-0.7782	-1.5441
194	38.8	-1.7403	-0.3164	-2.0567
195	39	0.4288	-0.2017	0.2271
196	39.2	-0.8341	-0.2046	-1.0387
197	39.4	-2.0443	-0.5329	-2.5772
198	39.6	4.3556	-1.0344	3.3212
199	39.8	-0.7774	-0.1712	-0.9486
200	40	-1.931	-0.5	-2.431
201	40.2	0.0469	-0.2188	-0.1719
202	40.4	-1.0571	-0.6295	-1.6866
203	40.6	0.082	-0.2584	-0.1764
204	40.8	0.2997	-1.3243	-1.0246
205	41	0.2246	-0.8804	-0.6558
206	41.2	0.3797	-0.8937	-0.514
207	41.4	0.4355	-0.9003	-0.4648
208	41.6	1.4918	-0.3054	1.1864
209	41.8	-0.9757	-0.6154	-1.5911
210	42	-1.8256	-1.8482	-3.6738
211	42.2	-7.2968	-1.4463	-8.7431
212	42.4	1.1812	-1.4446	-0.2634
213	42.6	0.0752	-1.004	-0.9288
214	42.8	1.0973	-1.3243	-0.227
215	43	2.8402	-0.7775	2.0627
216	43.2	0.5802	-0.5365	0.0437
217	43.4	-0.5943	-1.4195	-2.0138
218	43.6	0.7938	-0.3371	0.4567
219	43.8	-2.1502	-0.5838	-2.734
220	44	-1.0023	-0.7615	-1.7638
221	44.2	-0.2147	-1.336	-1.5507
222	44.4	-2.7697	-0.9155	-3.6852
223	44.6	-4.2196	-1.4212	-5.6408
224	44.8	1.4269	-1.397	0.0299
225	45	0.0673	-0.399	-0.3317
226	45.2	1.9241	-1.6105	0.3136
227	45.4	0.809	-0.3706	0.4384
228	45.6	-0.6365	-0.246	-0.8825
229	45.8	1.0614	-0.2501	0.8113
230	46	-5.0268	0.215	-4.8118
231	46.2	0.4266	-0.6095	-0.1829
232	46.4	-1.4483	-1.4034	-2.8517
233	46.6	0.2959	-0.5084	-0.2125
234	46.8	1.063	-0.5839	0.4791
235	47	0.6998	-0.0718	0.628
236	47.2	0.5349	-0.4125	0.1224
237	47.4	0.2014	-0.3563	-0.1549
238	47.6	0.0024	-0.2593	-0.2569
239	47.8	0.3846	-0.4058	-0.0212
240	48	-0.2228	-0.6747	-0.8975
241	48.2	2.2824	-1.8579	0.4245
242	48.4	0.465	-0.2125	0.2525
