Frame	Time	Elec	VdW	Nonbond
0	0	-97.1041	-11.7755	-108.88
1	0.2	-82.9834	-24.3434	-107.327
2	0.4	-93.1366	-14.7852	-107.922
3	0.6	-119.307	-14.7373	-134.044
4	0.8	-116.739	-17.1599	-133.899
5	1	-99.6411	-21.8619	-121.503
6	1.2	-40.8825	-22.9976	-63.8801
7	1.4	-139.169	-20.1452	-159.314
8	1.6	-116.156	-26.8378	-142.994
9	1.8	-104.975	-24.8952	-129.87
10	2	-105.847	-28.6368	-134.484
11	2.2	-59.3638	-24.0103	-83.3741
12	2.4	-65.3966	-24.7504	-90.147
13	2.6	-125.394	-15.7308	-141.124
14	2.8	-126.319	-18.8131	-145.132
15	3	-78.0528	-23.9821	-102.035
16	3.2	-105.847	-31.0771	-136.924
17	3.4	-117.274	-17.6695	-134.943
18	3.6	-123.495	-29.218	-152.713
19	3.8	-97.7812	-27.0722	-124.853
20	4	-118.349	-19.5072	-137.857
21	4.2	-113.866	-21.5403	-135.406
22	4.4	-108.186	-13.5444	-121.731
23	4.6	-97.5699	-19.5215	-117.091
24	4.8	-100.064	-9.7044	-109.768
25	5	-117.006	-12.5675	-129.573
26	5.2	-48.6105	-14.2227	-62.8332
27	5.4	-146.697	-15.0884	-161.785
28	5.6	-95.7611	-14.7818	-110.543
29	5.8	-106.478	-16.9249	-123.403
30	6	-31.8357	-16.4546	-48.2903
31	6.2	-106.438	-20.9019	-127.34
32	6.4	-48.4124	-24.6607	-73.0731
33	6.6	-121.593	-22.6202	-144.213
34	6.8	-84.3046	-24.2102	-108.515
35	7	-46.0855	-25.5787	-71.6642
36	7.2	-107.603	-26.0372	-133.64
37	7.4	-102.417	-28.4336	-130.85
38	7.6	-127.61	-29.2249	-156.835
39	7.8	-97.0146	-35.0173	-132.032
40	8	-75.3362	-20.5297	-95.8659
41	8.2	-98.0573	-24.8207	-122.878
42	8.4	-107.336	-32.3398	-139.676
43	8.6	-131.571	-33.1341	-164.705
44	8.8	-105.232	-26.8564	-132.089
45	9	-170.025	-29.5396	-199.565
46	9.2	-145.529	-28.3129	-173.842
47	9.4	-121.969	-28.9311	-150.9
48	9.6	-105.617	-26.5271	-132.144
49	9.8	-138.122	-35.0283	-173.151
50	10	-132.056	-31.6221	-163.678
51	10.2	-101.687	-21.4754	-123.162
52	10.4	-110.222	-15.2521	-125.474
53	10.6	-7.7648	-24.1203	-31.8851
54	10.8	-125.515	-19.1764	-144.691
55	11	-104.941	-27.0282	-131.969
56	11.2	-107.888	-24.5838	-132.471
57	11.4	-117.401	-17.5165	-134.918
58	11.6	-57.8388	-28.6415	-86.4803
59	11.8	-80.7982	-22.911	-103.709
60	12	-106.952	-20.9647	-127.917
61	12.2	-126.24	-23.0916	-149.331
62	12.4	-117.802	-23.8178	-141.62
63	12.6	-105.256	-21.3666	-126.622
64	12.8	-59.9752	-28.8266	-88.8018
65	13	-133.757	-13.9978	-147.755
66	13.2	-106.407	-14.2707	-120.678
67	13.4	-39.7637	-23.7004	-63.4641
68	13.6	-85.1371	-6.9041	-92.0412
69	13.8	-96.3729	-7.3657	-103.739
70	14	-7.7343	-5.9781	-13.7124
71	14.2	-56.7027	-5.735	-62.4377
72	14.4	-20.6303	-4.5182	-25.1485
73	14.6	-110.752	-7.2896	-118.042
74	14.8	-96.5391	-7.4082	-103.947
75	15	-119.898	-4.233	-124.131
76	15.2	-113.238	-8.023	-121.261
77	15.4	-107.378	-10.2168	-117.595
78	15.6	-91.836	-4.2359	-96.0719
79	15.8	-15.5506	-12.3562	-27.9068
80	16	-116.07	-2.9424	-119.013
81	16.2	-97.6887	-2.2408	-99.9295
82	16.4	-79.3386	-10.3721	-89.7107
83	16.6	-109.686	-5.3428	-115.029
84	16.8	-104.999	3.5591	-101.44
85	17	-100.743	-6.7577	-107.5
86	17.2	-91.877	-13.5556	-105.433
87	17.4	-115.213	-19.8395	-135.052
88	17.6	-104.145	-16.1964	-120.342
89	17.8	-110.779	-22.3697	-133.149
90	18	-105.105	-18.7641	-123.869
91	18.2	-100.001	-16.6009	-116.601
92	18.4	-101.636	-16.2571	-117.893
93	18.6	-98.9949	-17.6377	-116.633
94	18.8	-102.581	-9.4146	-111.995
95	19	-118.393	-21.331	-139.724
96	19.2	-105.486	-20.6225	-126.109
97	19.4	-100.76	-14.8595	-115.62
98	19.6	-47.2949	-20.8381	-68.133
99	19.8	-92.7321	-19.8655	-112.598
100	20	-133.07	-11.3387	-144.409
101	20.2	-89.3113	-19.5848	-108.896
102	20.4	-112.507	-15.4745	-127.981
103	20.6	-109.168	-14.1755	-123.344
104	20.8	-91.4379	-17.1251	-108.563
105	21	-77.1225	-15.8621	-92.9846
106	21.2	-76.7858	-19.52	-96.3058
107	21.4	-95.3364	-16.3602	-111.697
108	21.6	-97.5579	-15.2507	-112.809
109	21.8	-97.2015	-19.7672	-116.969
110	22	-54.6801	-19.9888	-74.6689
111	22.2	-57.9176	-6.2123	-64.1299
112	22.4	-13.4687	-18.9916	-32.4603
113	22.6	5.0879	-15.6714	-10.5835
114	22.8	-119.629	-21.2538	-140.882
115	23	-40.3993	-24.5451	-64.9444
116	23.2	-72.8159	-20.9017	-93.7176
117	23.4	-93.3769	-19.9122	-113.289
118	23.6	-104.853	-19.1661	-124.019
119	23.8	-106.401	-22.7391	-129.14
120	24	-46.8745	-20.3269	-67.2014
121	24.2	-36.3159	-19.9869	-56.3028
122	24.4	-95.4913	-22.8802	-118.372
123	24.6	-106.884	-17.5712	-124.456
124	24.8	-97.4197	-21.4569	-118.877
125	25	-124.164	-14.8675	-139.031
126	25.2	-93.8526	-24.7101	-118.563
127	25.4	-76.3338	-22.0331	-98.3669
128	25.6	-90.5452	-19.6654	-110.211
129	25.8	-112.852	-20.0211	-132.873
130	26	-93.0049	-18.3802	-111.385
131	26.2	-88.5432	-18.3857	-106.929
132	26.4	-93.9698	-18.4259	-112.396
133	26.6	-3.7443	-23.7275	-27.4718
134	26.8	-11.9117	-17.3856	-29.2973
135	27	-38.0742	-14.7193	-52.7935
136	27.2	-105.452	-17.9626	-123.415
137	27.4	-103.069	-20.696	-123.765
138	27.6	-86.9341	-13.0843	-100.018
139	27.8	-27.7069	-20.537	-48.2439
140	28	-113.96	-11.4858	-125.445
141	28.2	-92.5606	-16.8973	-109.458
142	28.4	-55.2625	-18.3906	-73.6531
143	28.6	-112.937	-17.7999	-130.737
144	28.8	-58.9583	-26.1865	-85.1448
145	29	-116.1	-20.7448	-136.845
146	29.2	-89.8476	-16.7407	-106.588
147	29.4	-21.3919	-21.9957	-43.3876
148	29.6	13.4838	-24.7628	-11.279
149	29.8	23.3633	-24.1643	-0.801
150	30	-68.2093	-17.1327	-85.342
151	30.2	-69.6059	-14.8633	-84.4692
152	30.4	-78.1085	-20.1533	-98.2618
153	30.6	-89.792	-14.9514	-104.743
154	30.8	-106.207	-25.4719	-131.679
155	31	-100.193	-18.3243	-118.517
156	31.2	-79.7944	-21.4415	-101.236
157	31.4	-35.1928	-12.9537	-48.1465
158	31.6	-24.71	-11.9274	-36.6374
159	31.8	-108.058	-16.168	-124.226
160	32	-92.6179	-24.0978	-116.716
161	32.2	-85.2043	-23.9637	-109.168
162	32.4	-107.198	-23.0099	-130.208
163	32.6	-80.0743	-25.7742	-105.849
164	32.8	-107.053	-27.1654	-134.218
165	33	-111.054	-18.0493	-129.103
166	33.2	-120.307	-23.008	-143.315
167	33.4	-98.9974	-27.8369	-126.834
168	33.6	-131.49	-30.9843	-162.474
169	33.8	-116.832	-27.0933	-143.925
170	34	-107.912	-26.8739	-134.786
171	34.2	-102.819	-31.6849	-134.504
172	34.4	-96.5867	-30.4798	-127.066
173	34.6	-92.3258	-27.6039	-119.93
174	34.8	-111.642	-32.1341	-143.776
175	35	-85.6994	-34.2343	-119.934
176	35.2	-85.7636	-37.1762	-122.94
177	35.4	-86.6739	-28.466	-115.14
178	35.6	-83.8611	-25.2866	-109.148
179	35.8	-116.887	-26.6802	-143.567
180	36	-101.701	-26.0514	-127.752
181	36.2	-107.487	-30.0902	-137.577
182	36.4	-107.505	-25.9773	-133.483
183	36.6	-119.983	-17.9928	-137.976
184	36.8	-82.7062	-21.7397	-104.446
185	37	-74.0507	-25.4434	-99.4941
186	37.2	-141.763	-22.4341	-164.197
187	37.4	-97.5179	-25.3985	-122.916
188	37.6	-97.2228	-26.4549	-123.678
189	37.8	-94.1023	-15.4892	-109.592
190	38	-128.766	-19.8516	-148.617
191	38.2	-135.47	-17.4421	-152.912
192	38.4	-99.4196	-21.9845	-121.404
193	38.6	-93.7897	-20.2209	-114.011
194	38.8	-105.891	-20.7995	-126.69
195	39	-102.884	-18.7916	-121.675
196	39.2	-77.8435	-15.5426	-93.3861
197	39.4	-94.1214	-28.9888	-123.11
198	39.6	-76.4805	-17.7825	-94.263
199	39.8	-100.729	-19.7488	-120.478
200	40	-122.98	-23.9501	-146.93
201	40.2	-95.622	-25.5994	-121.221
202	40.4	-103.928	-19.5645	-123.493
203	40.6	-70.4738	-27.5936	-98.0674
204	40.8	-87.3532	-32.0824	-119.436
205	41	-96.6018	-23.4418	-120.044
206	41.2	-107.129	-35.1493	-142.279
207	41.4	-104.181	-38.3478	-142.529
208	41.6	-94.3553	-36.8031	-131.158
209	41.8	-117.014	-32.5026	-149.516
210	42	-47.8437	-40.0792	-87.9229
211	42.2	-83.3276	-39.5421	-122.87
212	42.4	-89.356	-40.7587	-130.115
213	42.6	-87.8573	-39.5492	-127.406
214	42.8	-97.1681	-35.1879	-132.356
215	43	-127.146	-22.0871	-149.233
216	43.2	-80.0513	-27.4692	-107.521
217	43.4	-102.246	-25.3329	-127.579
218	43.6	-99.8475	-14.1206	-113.968
219	43.8	-108.232	-20.1278	-128.36
220	44	-103.341	-23.5557	-126.897
221	44.2	-125.001	-27.6669	-152.668
222	44.4	-138.307	-26.122	-164.429
223	44.6	-95.2587	-28.3365	-123.595
224	44.8	-112.969	-26.9605	-139.93
225	45	-84.7009	-22.4651	-107.166
226	45.2	-60.7952	-23.9938	-84.789
227	45.4	-111.194	-24.8295	-136.024
228	45.6	-102.188	-21.8943	-124.083
229	45.8	-87.178	-25.1017	-112.28
230	46	-107.25	-29.9418	-137.192
231	46.2	-114.78	-32.863	-147.643
232	46.4	-90.6861	-36.9465	-127.633
233	46.6	-89.3305	-28.2717	-117.602
234	46.8	-116.299	-33.2665	-149.566
235	47	-111.36	-23.2322	-134.593
236	47.2	-111.99	-32.6555	-144.645
237	47.4	-124.059	-36.9327	-160.992
238	47.6	-100.208	-27.1306	-127.339
239	47.8	-106.444	-26.5255	-132.969
240	48	-140.042	-28.0039	-168.046
241	48.2	-80.5304	-31.6855	-112.216
242	48.4	-78.0273	-27.5099	-105.537
243	48.6	-97.0693	-32.8749	-129.944
244	48.8	-102.897	-26.9338	-129.831
245	49	-76.9603	-33.4671	-110.427
246	49.2	-108.687	-24.3841	-133.071
247	49.4	-113.008	-27.6043	-140.612
248	49.6	-127.013	-32.6129	-159.626
249	49.8	-149.535	-30.9455	-180.481
250	50	-127.876	-29.2662	-157.142
251	50.2	-86.2466	-30.82	-117.067
252	50.4	-109.375	-29.1931	-138.568
253	50.6	-95.1056	-31.9722	-127.078
254	50.8	-92.1312	-34.0273	-126.159
255	51	-120.492	-31.8341	-152.326
256	51.2	-82.3778	-26.1156	-108.493
257	51.4	-77.003	-24.4442	-101.447
258	51.6	-85.0582	-30.5173	-115.576
259	51.8	-106.144	-26.0659	-132.21
260	52	-113.817	-31.0825	-144.899
261	52.2	-108.199	-16.9024	-125.101
262	52.4	-90.2857	-20.0151	-110.301
263	52.6	-107.519	-12.8833	-120.402
264	52.8	-97.6388	-16.6346	-114.273
265	53	-80.3539	-16.1776	-96.5315
266	53.2	-93.7071	-18.1078	-111.815
267	53.4	-101.396	-14.7853	-116.181
268	53.6	-94.6782	-23.2834	-117.962
269	53.8	-100.301	-11.4073	-111.708
270	54	-87.5215	-14.9149	-102.436
271	54.2	-81.6842	-14.6874	-96.3716
272	54.4	-82.1611	-15.1044	-97.2655
