Frame	Time	Elec	VdW	Nonbond
0	0	0.6517	0	0.6517
1	0.2	11.9074	-0.0759	11.8315
2	0.4	2.0667	-0.0302	2.0365
3	0.6	-0.0007	0	-0.0007
4	0.8	0.072	0	0.072
5	1	-0.1605	0	-0.1605
6	1.2	4.123	-0.0081	4.1149
7	1.4	2.1976	-0.017	2.1806
8	1.6	-1.3541	-0.001	-1.3551
9	1.8	0.0051	0	0.0051
10	2	-0.9169	-0.003	-0.9199
11	2.2	0	0	0
12	2.4	-0.2412	-0.0015	-0.2427
13	2.6	-0.77	-0.0128	-0.7828
14	2.8	2.1531	-0.0295	2.1236
15	3	-4.6785	-0.0427	-4.7212
16	3.2	21.6018	-0.5271	21.0747
17	3.4	12.7172	-0.0367	12.6805
18	3.6	12.2961	-0.065	12.2311
19	3.8	10.9177	-0.0405	10.8772
20	4	0.2831	-0.0505	0.2326
21	4.2	9.7314	-0.1063	9.6251
22	4.4	7.6063	-0.0615	7.5448
23	4.6	19.0638	-0.3393	18.7245
24	4.8	2.3974	-0.0419	2.3555
25	5	7.4473	-0.0199	7.4274
26	5.2	47.3981	-0.4058	46.9923
27	5.4	-9.9815	-0.5093	-10.4908
28	5.6	1.177	-0.2109	0.9661
29	5.8	15.2716	-0.1494	15.1222
30	6	24.2277	-0.2755	23.9522
31	6.2	3.0822	-0.0318	3.0504
32	6.4	10.7299	-0.0695	10.6604
33	6.6	-8.3904	-0.0817	-8.4721
34	6.8	22.2147	-0.9142	21.3005
35	7	4.8271	-0.1316	4.6955
36	7.2	-6.3231	-0.7593	-7.0824
37	7.4	3.0645	-1.1542	1.9103
38	7.6	0.2009	-0.4045	-0.2036
39	7.8	8.6012	-1.9802	6.621
40	8	42.6392	-0.3074	42.3318
41	8.2	22.8629	-0.5089	22.354
42	8.4	0.5382	-0.511	0.0272
43	8.6	-29.6782	-0.9217	-30.5999
44	8.8	-4.1701	-1.2384	-5.4085
45	9	-16.6301	-3.1969	-19.827
46	9.2	36.7127	-4.943	31.7697
47	9.4	-21.3266	-3.4072	-24.7338
48	9.6	3.0384	-3.3053	-0.2669
49	9.8	-7.8017	-4.0228	-11.8245
50	10	74.0439	-8.5825	65.4614
51	10.2	54.3723	-2.931	51.4413
52	10.4	5.6077	-4.0319	1.5758
53	10.6	-0.0654	-4.0333	-4.0987
54	10.8	48.4415	-4.8744	43.5671
