Frame	Time	Elec	VdW	Nonbond
0	0	3.0099	-2.0432	0.9667
1	0.2	-50.6675	-5.6774	-56.3449
2	0.4	-79.6095	-4.211	-83.8205
3	0.6	-80.5182	-0.4634	-80.9816
4	0.8	-69.991	-6.8979	-76.8889
5	1	-79.0703	1.1212	-77.9491
6	1.2	-48.6276	-10.7298	-59.3574
7	1.4	-64.4903	-3.8746	-68.3649
8	1.6	-56.6549	-1.4053	-58.0602
9	1.8	-47.2289	-3.6351	-50.864
10	2	-78.5041	-1.0289	-79.533
11	2.2	-72.3119	-7.1282	-79.4401
12	2.4	-75.7445	-6.5069	-82.2514
13	2.6	-76.2855	-1.0733	-77.3588
14	2.8	-82.6059	-1.8106	-84.4165
15	3	-78.0391	1.2591	-76.78
16	3.2	-83.4211	1.981	-81.4401
17	3.4	-53.3642	-3.7807	-57.1449
18	3.6	-70.5596	-8.0455	-78.6051
19	3.8	-70.6476	3.0847	-67.5629
20	4	-72.4965	-3.0377	-75.5342
21	4.2	-69.735	-2.2062	-71.9412
22	4.4	-72.6859	0.4516	-72.2343
23	4.6	-70.6648	-0.2136	-70.8784
24	4.8	-72.9907	-2.4149	-75.4056
25	5	-72.3446	-1.8832	-74.2278
26	5.2	-70.4529	-7.383	-77.8359
27	5.4	-47.4718	-4.3767	-51.8485
28	5.6	-45.9398	-3.4306	-49.3704
29	5.8	-40.595	-7.2613	-47.8563
30	6	-48.454	-2.7003	-51.1543
31	6.2	-73.3913	0.9857	-72.4056
32	6.4	-66.8495	-2.2433	-69.0928
33	6.6	-35.2468	-5.259	-40.5058
34	6.8	-24.7495	-2.7665	-27.516
35	7	-8.3546	-4.8078	-13.1624
36	7.2	-1.6851	-3.4626	-5.1477
37	7.4	-3.402	-1.5351	-4.9371
38	7.6	-0.5758	-0.9626	-1.5384
39	7.8	0.5117	-2.4123	-1.9006
40	8	-32.1145	-3.0208	-35.1353
41	8.2	-9.8863	-2.9509	-12.8372
42	8.4	-4.2409	-5.4198	-9.6607
43	8.6	-3.2602	-6.302	-9.5622
44	8.8	-1.4271	-5.0992	-6.5263
45	9	-6.965	-10.8374	-17.8024
46	9.2	-4.3269	-6.6573	-10.9842
47	9.4	-2.0908	-9.5425	-11.6333
48	9.6	-4.2875	-13.4338	-17.7213
49	9.8	-1.0024	-5.4946	-6.497
50	10	-3.8812	-6.3344	-10.2156
51	10.2	-6.2006	-10.5437	-16.7443
52	10.4	-0.0946	-6.2178	-6.3124
53	10.6	-0.8041	-3.5927	-4.3968
54	10.8	-0.7651	-7.0402	-7.8053
55	11	-2.0108	-3.3828	-5.3936
56	11.2	-4.8481	-6.4154	-11.2635
57	11.4	-4.7916	-7.7707	-12.5623
58	11.6	-1.3611	-5.2378	-6.5989
59	11.8	-4.3103	-5.1318	-9.4421
60	12	-1.1925	-5.9788	-7.1713
61	12.2	0.1609	-7.0126	-6.8517
62	12.4	-0.5234	-7.1032	-7.6266
63	12.6	2.5517	-7.1571	-4.6054
64	12.8	0.2131	-3.2596	-3.0465
65	13	1.492	-8.5825	-7.0905
66	13.2	-1.1823	-6.3834	-7.5657
67	13.4	1.2735	-7.7809	-6.5074
68	13.6	0.5711	-7.0938	-6.5227
69	13.8	-0.3399	-5.2891	-5.629
70	14	2.1143	-8.2895	-6.1752
71	14.2	2.4917	-8.7512	-6.2595
72	14.4	-0.3354	-6.7898	-7.1252
73	14.6	3.7606	-7.1617	-3.4011
74	14.8	0.8843	-8.1992	-7.3149
75	15	-1.663	-7.5933	-9.2563
76	15.2	1.7082	-6.1266	-4.4184
77	15.4	-0.7345	-7.1135	-7.848
78	15.6	0.1933	-5.1283	-4.935
79	15.8	2.8827	-7.6321	-4.7494
80	16	1.0497	-10.3172	-9.2675
81	16.2	1.9469	-5.0608	-3.1139
82	16.4	-4.4427	-9.057	-13.4997
83	16.6	4.5609	-9.0207	-4.4598
84	16.8	1.5778	-9.0601	-7.4823
