Frame	Time	Elec	VdW	Nonbond
0	0	-89.4644	-12.5569	-102.021
1	0.2	-83.9454	-12.6591	-96.6045
2	0.4	-190.693	-17.5542	-208.247
3	0.6	-162.193	-5.2435	-167.437
4	0.8	-69.5279	-9.4461	-78.974
5	1	-104.915	-2.6989	-107.614
6	1.2	-111.822	-18.725	-130.547
7	1.4	-135.88	-13.0064	-148.887
8	1.6	-124.411	-8.4115	-132.823
9	1.8	-119.436	-11.8133	-131.25
10	2	-88.1451	-13.4716	-101.617
11	2.2	-75.2159	-11.4984	-86.7143
12	2.4	-92.0991	-11.8172	-103.916
13	2.6	-75.1186	-5.6489	-80.7675
14	2.8	-100.307	-4.588	-104.895
15	3	-122.825	-7.3696	-130.195
16	3.2	-132.594	-1.1343	-133.728
17	3.4	-149.612	-2.4517	-152.063
18	3.6	-92.0705	-16.3471	-108.418
19	3.8	-111.72	-1.2444	-112.965
20	4	-104.166	-9.5473	-113.713
21	4.2	-115.76	-13.956	-129.716
22	4.4	-83.8736	-10.6449	-94.5185
23	4.6	-86.9965	-6.6159	-93.6124
24	4.8	-185.738	-13.996	-199.734
25	5	-221.386	-18.3722	-239.759
26	5.2	-188.97	-19.4392	-208.409
27	5.4	-166.406	-14.0998	-180.505
28	5.6	-205.201	-20.6667	-225.867
29	5.8	-172.719	-21.509	-194.228
30	6	-162.043	-32.1392	-194.182
31	6.2	-165.151	-14.0757	-179.227
32	6.4	-127.983	-17.5083	-145.492
33	6.6	-61.4815	-30.091	-91.5725
34	6.8	-117.156	-29.7049	-146.86
35	7	-86.7728	-28.5731	-115.346
36	7.2	-132.788	-24.5524	-157.34
37	7.4	-87.5169	-29.5983	-117.115
38	7.6	-113.368	-27.2339	-140.601
39	7.8	-103.8	-22.9639	-126.764
40	8	-125.377	-30.3519	-155.729
41	8.2	-165.559	-28.2427	-193.802
42	8.4	-159.15	-42.9501	-202.1
43	8.6	-152.679	-25.9954	-178.674
44	8.8	-43.1886	-37.8439	-81.0325
45	9	-164.665	-47.6271	-212.292
46	9.2	-186.88	-42.5247	-229.404
47	9.4	-199.273	-52.4694	-251.742
48	9.6	-136.6	-52.6067	-189.206
49	9.8	-140.715	-37.6592	-178.374
50	10	-87.7354	-40.5248	-128.26
51	10.2	-150.697	-42.3823	-193.079
52	10.4	-167.036	-34.7026	-201.739
53	10.6	-145.89	-39.0223	-184.912
54	10.8	-165.453	-39.597	-205.05
55	11	-171.585	-33.1812	-204.766
56	11.2	-84.8927	-55.107	-140
57	11.4	-156.262	-55.5512	-211.813
58	11.6	-61.4124	-59.5635	-120.976
59	11.8	-128.573	-55.6671	-184.24
60	12	-154.887	-65.0753	-219.962
61	12.2	-134.837	-58.8802	-193.717
62	12.4	-149.117	-53.703	-202.82
63	12.6	-93.866	-58.9458	-152.812
64	12.8	-178.223	-48.0816	-226.305
65	13	-196.338	-38.9547	-235.293
66	13.2	-155.169	-49.2724	-204.441
67	13.4	-149.972	-56.1641	-206.136
68	13.6	-201.56	-49.7129	-251.273
69	13.8	-186.069	-47.9367	-234.006
70	14	-166.833	-39.4842	-206.317
71	14.2	-199.544	-49.3422	-248.886
72	14.4	-189.52	-47.7147	-237.234
73	14.6	-199.155	-48.8509	-248.005
74	14.8	-141.609	-51.1458	-192.755
75	15	-132.458	-50.4126	-182.87
76	15.2	-106.069	-45.2397	-151.309
77	15.4	-149.479	-42.8897	-192.369
78	15.6	-100.275	-43.2558	-143.531
79	15.8	-82.5866	-42.6202	-125.207
80	16	-144.636	-52.7563	-197.393
81	16.2	-173.59	-44.3545	-217.945
82	16.4	-192.634	-52.127	-244.761
83	16.6	-127.582	-48.5023	-176.084
84	16.8	-155.808	-49.6967	-205.505
85	17	-170.791	-43.0777	-213.869
86	17.2	-193.332	-38.9315	-232.264
87	17.4	-216.602	-45.5834	-262.185
88	17.6	-171.076	-53.2294	-224.306
89	17.8	-197.86	-50.0173	-247.878
90	18	-191.758	-48.5917	-240.35
91	18.2	-218.049	-41.2486	-259.297
92	18.4	-78.8675	-55.7763	-134.644
93	18.6	-178.533	-45.5263	-224.059
94	18.8	-153.846	-38.103	-191.949
95	19	-135.135	-47.1447	-182.28
96	19.2	-157.322	-51.5159	-208.838
97	19.4	-133.853	-47.0176	-180.87
98	19.6	-165.679	-47.0022	-212.681
99	19.8	-197.02	-52.0338	-249.054
100	20	-179.447	-45.7631	-225.21
101	20.2	-187.265	-52.2259	-239.491
102	20.4	-199.525	-54.5022	-254.027
103	20.6	-204.31	-55.6475	-259.957
104	20.8	-224.084	-47.2705	-271.355
105	21	-152.098	-44.7333	-196.831
106	21.2	-152.037	-44.3216	-196.358
107	21.4	-220.329	-59.7783	-280.107
108	21.6	-169.907	-48.3257	-218.232
109	21.8	-179.772	-44.9175	-224.689
110	22	-132.469	-51.4229	-183.892
111	22.2	-292.043	-48.159	-340.202
112	22.4	-284.612	-53.1903	-337.802
113	22.6	-280.155	-48.2987	-328.454
114	22.8	-219.827	-46.4362	-266.263
115	23	-229.806	-35.8835	-265.689
116	23.2	-200.249	-53.5253	-253.775
117	23.4	-204.197	-40.965	-245.162
118	23.6	-222.906	-41.5217	-264.428
119	23.8	-250.505	-48.7961	-299.301
120	24	-180.492	-54.7432	-235.236
121	24.2	-229.905	-50.8555	-280.76
122	24.4	-282.664	-49.6319	-332.296
123	24.6	-262.651	-46.5551	-309.206
124	24.8	-285.855	-33.4873	-319.342
125	25	-216.299	-50.7355	-267.035
126	25.2	-300.447	-41.3524	-341.799
127	25.4	-308.204	-48.1064	-356.31
128	25.6	-142.707	-47.5385	-190.245
129	25.8	-218.128	-42.0577	-260.186
130	26	-263.81	-32.9466	-296.757
131	26.2	-155.105	-49.9758	-205.08
132	26.4	-128.589	-53.7699	-182.359
133	26.6	-123.385	-62.3161	-185.701
134	26.8	-85.6684	-59.869	-145.537
135	27	-194.361	-53.4657	-247.826
136	27.2	-50.0747	-50.6586	-100.733
137	27.4	-6.1449	-52.7379	-58.8828
138	27.6	-39.7482	-52.1054	-91.8536
139	27.8	-63.4242	-50.5888	-114.013
140	28	-69.9609	-45.4619	-115.423
141	28.2	-163.007	-41.9032	-204.91
142	28.4	-170.083	-45.8021	-215.885
143	28.6	-153.018	-49.6589	-202.676
144	28.8	-134.789	-48.2327	-183.021
145	29	-148.85	-48.4843	-197.335
146	29.2	-220.658	-47.7449	-268.403
147	29.4	-138.547	-50.9041	-189.452
148	29.6	-201.554	-55.0512	-256.606
149	29.8	-293.338	-56.0998	-349.438
150	30	-284.721	-55.9249	-340.646
151	30.2	-289.669	-61.3066	-350.976
152	30.4	-201.831	-65.7879	-267.619
153	30.6	-203.457	-60.6625	-264.12
154	30.8	-210.389	-58.6475	-269.036
155	31	-173.662	-63.1836	-236.845
156	31.2	-226.694	-47.519	-274.213
157	31.4	-168.65	-54.6868	-223.337
158	31.6	-166.427	-47.9593	-214.386
159	31.8	-163.015	-54.9743	-217.989
160	32	-194.644	-51.3258	-245.97
161	32.2	-224.173	-51.5787	-275.752
162	32.4	-78.6869	-46.2041	-124.891
163	32.6	-217.137	-47.9265	-265.063
164	32.8	-165.755	-49.6852	-215.441
165	33	-168.23	-56.9653	-225.195
166	33.2	-173.757	-50.1878	-223.945
167	33.4	-170.957	-62.6382	-233.596
168	33.6	-165.396	-54.2101	-219.606
169	33.8	-138.353	-59.6229	-197.976
170	34	-177.089	-47.5832	-224.672
171	34.2	-144.436	-57.3605	-201.797
172	34.4	-148.385	-56.0725	-204.458
173	34.6	-261.781	-51.7053	-313.486
174	34.8	-254.644	-58.2388	-312.883
175	35	-187.168	-56.9858	-244.154
176	35.2	-169.165	-61.8074	-230.972
177	35.4	-167.454	-55.2361	-222.69
178	35.6	-185.912	-61.8307	-247.743
179	35.8	-225.557	-61.4175	-286.974
180	36	-171.029	-67.4694	-238.498
181	36.2	-189.16	-59.3972	-248.557
182	36.4	-255.946	-56.2672	-312.214
183	36.6	-178.174	-66.1378	-244.312
184	36.8	-176.732	-55.8751	-232.607
185	37	-173.497	-67.7387	-241.236
186	37.2	-192.862	-58.7678	-251.63
187	37.4	-134.951	-66.8734	-201.824
188	37.6	-225.148	-60.4971	-285.645
189	37.8	-202.313	-52.6048	-254.918
190	38	-213.106	-55.6391	-268.745
191	38.2	-182.554	-58.9301	-241.484
192	38.4	-183.685	-56.3228	-240.008
193	38.6	-235.807	-44.4032	-280.211
194	38.8	-260.753	-51.7398	-312.493
195	39	-186.806	-55.7004	-242.507
196	39.2	-198.319	-59.0121	-257.331
197	39.4	-259.013	-54.2437	-313.257
198	39.6	-120.167	-59.0177	-179.185
199	39.8	-220.148	-65.4944	-285.643
200	40	-190.451	-45.5094	-235.96
201	40.2	-197.063	-61.0426	-258.105
