Frame	Time	Elec	VdW	Nonbond
0	0	-601.453	-125.42	-726.873
1	0.2	-811.77	-127.332	-939.102
2	0.4	-549.242	-138.631	-687.873
3	0.6	-633.513	-125.626	-759.139
4	0.8	-712.144	-95.4966	-807.641
5	1	-718.424	-110.507	-828.931
6	1.2	-699.751	-112.904	-812.655
7	1.4	-730.32	-111.972	-842.292
8	1.6	-710.874	-100.677	-811.551
9	1.8	-758.524	-91.3541	-849.878
10	2	-647.451	-96.1787	-743.63
11	2.2	-615.729	-86.2434	-701.972
12	2.4	-609.409	-72.3771	-681.786
13	2.6	-624.774	-68.7757	-693.55
14	2.8	-791.93	-74.6481	-866.578
15	3	-596.317	-83.9051	-680.222
16	3.2	-555.821	-53.553	-609.374
17	3.4	-476.871	-47.0313	-523.903
18	3.6	-622.46	-56.9931	-679.453
19	3.8	-600.575	-52.326	-652.901
20	4	-741.806	-51.1043	-792.91
21	4.2	-838.906	-82.5697	-921.476
22	4.4	-1000.18	-75.2856	-1075.46
23	4.6	-901.366	-77.686	-979.052
24	4.8	-737.707	-67.4112	-805.118
25	5	-829.298	-59.4762	-888.775
26	5.2	-687.731	-44.4751	-732.207
27	5.4	-633.294	-42.6233	-675.917
28	5.6	-697.685	-52.6929	-750.378
29	5.8	-708.838	-58.2613	-767.099
30	6	-523.779	-62.3225	-586.102
31	6.2	-677.732	-47.3138	-725.046
32	6.4	-506.315	-56.1689	-562.484
33	6.6	-426.26	-41.6784	-467.938
34	6.8	-468.342	-60.0843	-528.426
35	7	-511.106	-72.1201	-583.226
36	7.2	-400.066	-49.3618	-449.428
37	7.4	-521.61	-36.8612	-558.471
38	7.6	-511.306	-33.7589	-545.065
39	7.8	-538.96	-56.7861	-595.746
40	8	-610.028	-58.835	-668.863
41	8.2	-482.154	-49.3217	-531.476
42	8.4	-447.918	-56.031	-503.949
43	8.6	-382.716	-36.8681	-419.584
44	8.8	-388.321	-60.6186	-448.94
45	9	-342.041	-62.845	-404.886
46	9.2	-474.292	-59.9742	-534.267
47	9.4	-514.712	-43.8037	-558.516
48	9.6	-516.035	-61.9797	-578.015
49	9.8	-535.061	-58.9372	-593.998
50	10	-566.933	-51.8754	-618.809
51	10.2	-639.437	-80.5436	-719.98
52	10.4	-616.41	-64.7193	-681.13
53	10.6	-588.176	-62.6636	-650.84
54	10.8	-610.265	-64.4662	-674.731
55	11	-666.46	-60.8626	-727.322
56	11.2	-714.541	-56.8002	-771.341
57	11.4	-681.972	-36.9737	-718.946
58	11.6	-706.116	-53.0221	-759.138
59	11.8	-675.626	-35.7824	-711.409
60	12	-597.413	-41.0077	-638.421
61	12.2	-499.436	-61.1756	-560.612
62	12.4	-395.538	-48.4358	-443.974
63	12.6	-384.969	-38.2337	-423.202
64	12.8	-319.074	-45.3379	-364.412
65	13	-416.215	-36.3579	-452.573
66	13.2	-311.41	-53.6354	-365.046
67	13.4	-352.738	-36.6575	-389.395
68	13.6	-261.385	-42.6962	-304.082
69	13.8	-344.472	-29.7175	-374.189
70	14	-462.902	-31.3202	-494.222
71	14.2	-419.399	-37.9626	-457.362
72	14.4	-225.572	-42.1295	-267.701
73	14.6	-304.49	-44.2541	-348.745
74	14.8	-348.735	-44.828	-393.563
75	15	-543.637	-35.0682	-578.705
76	15.2	-418.875	-31.1095	-449.985
77	15.4	-406.298	-35.5906	-441.888
78	15.6	-476.106	-24.5055	-500.611
79	15.8	-491.025	-25.0405	-516.066
80	16	-433.083	-46.4984	-479.581
81	16.2	-471.244	-40.9061	-512.15
82	16.4	-528.388	-56.9396	-585.327
83	16.6	-386.438	-51.9716	-438.409
84	16.8	-425.796	-59.8659	-485.662
85	17	-301.762	-47.594	-349.356
86	17.2	-437.332	-54.2361	-491.568
87	17.4	-479.928	-55.9517	-535.88
88	17.6	-550.181	-54.6463	-604.827
89	17.8	-523.386	-33.3895	-556.776
90	18	-337.961	-26.0155	-363.977
91	18.2	-241.946	-28.1396	-270.086
92	18.4	-286.237	-37.9105	-324.148
93	18.6	-289.688	-24.028	-313.717
94	18.8	-293.836	-48.0216	-341.857
95	19	-336.565	-50.9515	-387.516
96	19.2	-371.204	-41.1524	-412.357
97	19.4	-286.024	-34.3955	-320.419
98	19.6	-353.457	-28.8072	-382.264
99	19.8	-338.286	-24.9372	-363.224
100	20	-159.771	-21.9747	-181.746
101	20.2	-324.611	-32.7053	-357.316
102	20.4	-408.719	-37.8427	-446.562
103	20.6	-296.306	-25.4872	-321.793
104	20.8	-253.918	-24.2832	-278.201
105	21	-342.211	-33.4983	-375.71
106	21.2	-310.815	-35.8678	-346.683
107	21.4	-303.833	-25.9759	-329.809
108	21.6	-272.464	-27.546	-300.01
109	21.8	-178.141	-29.3798	-207.521
110	22	-223.618	-42.0406	-265.659
111	22.2	-355.594	-52.9374	-408.532
