Frame	Time	Elec	VdW	Nonbond
0	0	-2.7936	-0.0504	-2.844
1	0.2	0.5309	-0.0059	0.525
2	0.4	-0.1314	-0.0006	-0.132
3	0.6	-0.3852	-0.0069	-0.3921
4	0.8	-0.0718	-0.1474	-0.2192
5	1	-12.2068	-1.0277	-13.2345
6	1.2	0.1038	-0.4629	-0.3591
7	1.4	-0.1901	-0.211	-0.4011
8	1.6	-0.855	-0.4478	-1.3028
9	1.8	-2.62	-0.7269	-3.3469
10	2	-1.4648	-0.4702	-1.935
11	2.2	-8.7974	-2.6522	-11.4496
12	2.4	-0.5596	-0.6848	-1.2444
13	2.6	1.1947	-1.3788	-0.1841
14	2.8	-1.152	-6.4448	-7.5968
15	3	5.677	-5.1363	0.5407
16	3.2	-4.8201	-3.2133	-8.0334
17	3.4	4.8265	-4.3449	0.4816
18	3.6	-6.1017	-1.8427	-7.9444
19	3.8	-6.8718	-2.945	-9.8168
20	4	-1.1635	-3.0948	-4.2583
21	4.2	6.9917	-8.5873	-1.5956
22	4.4	-7.9903	-7.052	-15.0423
23	4.6	-10.562	-8.2275	-18.7895
24	4.8	-13.6285	-8.3351	-21.9636
25	5	-13.177	-9.6239	-22.8009
26	5.2	-9.6937	-6.2138	-15.9075
27	5.4	-3.8178	-6.2944	-10.1122
28	5.6	3.7789	-6.1637	-2.3848
29	5.8	-0.5622	-2.3712	-2.9334
30	6	-1.3937	-4.5442	-5.9379
31	6.2	3.7625	-6.3081	-2.5456
32	6.4	-2.2748	-3.3929	-5.6677
33	6.6	-4.3141	-2.805	-7.1191
34	6.8	7.1885	-3.9648	3.2237
35	7	-1.67	-1.1181	-2.7881
36	7.2	3.0894	-7.6598	-4.5704
37	7.4	7.0488	-2.164	4.8848
38	7.6	0.8016	-5.6091	-4.8075
39	7.8	1.6007	-6.7164	-5.1157
40	8	-5.4138	-1.8246	-7.2384
41	8.2	1.5379	-8.3028	-6.7649
42	8.4	4.6645	-11.9066	-7.2421
43	8.6	11.2341	-12.7908	-1.5567
44	8.8	6.0327	-10.0237	-3.991
45	9	0.595	-0.4112	0.1838
46	9.2	0.3628	-0.042	0.3208
47	9.4	-0.4664	-0.1266	-0.593
48	9.6	4.8422	-0.2263	4.6159
49	9.8	2.0759	-0.7705	1.3054
50	10	0.9402	-0.6047	0.3355
51	10.2	2.356	-0.6491	1.7069
52	10.4	2.4781	-0.4022	2.0759
53	10.6	0.6545	-0.3955	0.259
54	10.8	5.9525	-0.9413	5.0112
55	11	3.0851	-0.4164	2.6687
56	11.2	6.3104	-0.6437	5.6667
57	11.4	1.8371	-0.2949	1.5422
58	11.6	4.2528	-0.2424	4.0104
59	11.8	2.9356	-0.6729	2.2627
60	12	7.0567	-0.7181	6.3386
61	12.2	1.298	-1.9214	-0.6234
62	12.4	-3.7592	-3.7256	-7.4848
63	12.6	3.5665	-4.3711	-0.8046
64	12.8	1.2812	-1.8852	-0.604
65	13	3.9766	-3.9446	0.032
66	13.2	4.1363	-4.4414	-0.3051
67	13.4	4.7384	-4.4363	0.3021
68	13.6	3.6893	-2.7476	0.9417
69	13.8	-0.2322	-4.6832	-4.9154
70	14	-3.9926	-3.4262	-7.4188
71	14.2	1.3228	-5.7334	-4.4106
72	14.4	0.6404	-1.6998	-1.0594
73	14.6	-7.9044	-7.0461	-14.9505
74	14.8	7.7525	-5.2976	2.4549
75	15	6.0595	-3.29	2.7695
76	15.2	3.7356	-7.6371	-3.9015
77	15.4	1.1344	-2.149	-1.0146
78	15.6	2.8335	-4.0378	-1.2043
79	15.8	3.9968	-5.6688	-1.672
80	16	2.3726	-4.8918	-2.5192
81	16.2	0.1909	-9.0095	-8.8186
82	16.4	1.4606	-3.9819	-2.5213
83	16.6	2.7142	-5.2068	-2.4926
84	16.8	-2.0699	-9.63	-11.6999
85	17	0.9698	-6.0017	-5.0319
86	17.2	2.2092	-7.0013	-4.7921
87	17.4	1.4403	-6.2781	-4.8378
88	17.6	-0.74	-2.5606	-3.3006
89	17.8	5.7318	-0.9594	4.7724
90	18	2.3702	-0.3528	2.0174
91	18.2	4.131	-0.7712	3.3598
92	18.4	5.1044	-2.3045	2.7999
93	18.6	0.7035	-1.805	-1.1015
94	18.8	9.2994	-3.968	5.3314
95	19	5.0799	-2.8911	2.1888
96	19.2	8.8201	-1.011	7.8091
97	19.4	-5.1273	-8.3379	-13.4652
98	19.6	6.6643	-6.447	0.2173
99	19.8	7.8684	-5.0438	2.8246
100	20	4.7204	-0.5999	4.1205
101	20.2	8.4711	-0.799	7.6721
102	20.4	6.2151	-0.8095	5.4056
103	20.6	4.3483	-0.2234	4.1249
104	20.8	4.9038	-2.7116	2.1922
105	21	4.6972	-5.3918	-0.6946
106	21.2	7.1489	-2.3592	4.7897
107	21.4	4.9091	-4.399	0.5101
108	21.6	-2.3729	-8.6326	-11.0055
109	21.8	-6.7855	-9.7526	-16.5381
110	22	0.2789	-7.7054	-7.4265
111	22.2	0.699	-10.4127	-9.7137
112	22.4	-5.5805	-13.3383	-18.9188
113	22.6	-2.9842	-8.5023	-11.4865
114	22.8	1.3231	-11.2946	-9.9715
115	23	-2.9559	-11.3068	-14.2627
116	23.2	0.4746	-7.1578	-6.6832
117	23.4	-11.5876	-9.1934	-20.781
118	23.6	-8.5828	-10.8167	-19.3995
119	23.8	-12.2588	-8.7832	-21.042
120	24	-19.0428	-7.7984	-26.8412
121	24.2	-14.3657	-9.4325	-23.7982
122	24.4	-8.5128	-10.0186	-18.5314
123	24.6	-11.6878	-10.1797	-21.8675
124	24.8	-20.3782	-11.368	-31.7462
125	25	-18.6102	-13.5242	-32.1344
126	25.2	-17.9105	-8.9122	-26.8227
127	25.4	-11.7269	-9.3161	-21.043
128	25.6	-7.6277	-8.7211	-16.3488
129	25.8	-10.4358	-11.3008	-21.7366
130	26	-4.2937	-10.6485	-14.9422
131	26.2	-3.2479	-8.5813	-11.8292
132	26.4	-6.2662	-9.6463	-15.9125
133	26.6	-10.3944	-10.6518	-21.0462
134	26.8	-16.2577	-10.3149	-26.5726
135	27	-15.2158	-12.4224	-27.6382
136	27.2	-8.9597	-7.656	-16.6157
137	27.4	-1.5065	-4.3558	-5.8623
138	27.6	-9.1318	-8.4375	-17.5693
139	27.8	-5.1647	-8.162	-13.3267
140	28	-9.6367	-5.6348	-15.2715
141	28.2	-3.8964	-16.7035	-20.5999
142	28.4	-3.2854	-17.7659	-21.0513
143	28.6	-9.6053	-15.9704	-25.5757
144	28.8	-1.3937	-15.7246	-17.1183
145	29	-16.2927	-11.1967	-27.4894
146	29.2	-16.6354	-11.9728	-28.6082
147	29.4	-4.9645	-14.3957	-19.3602
148	29.6	-0.6174	-16.5244	-17.1418
149	29.8	-3.9043	-13.2058	-17.1101
150	30	-4.3878	-16.148	-20.5358
151	30.2	6.901	-14.5328	-7.6318
152	30.4	-7.7976	-15.9423	-23.7399
153	30.6	-9.1731	-13.6419	-22.815
154	30.8	-1.8238	-17.3676	-19.1914
155	31	-5.1028	-15.5166	-20.6194
156	31.2	-5.1922	-15.0377	-20.2299
157	31.4	-9.7059	-16.165	-25.8709
158	31.6	-2.7135	-15.5662	-18.2797
159	31.8	-4.1736	-18.6085	-22.7821
160	32	-12.0093	-15.22	-27.2293
161	32.2	-5.2425	-15.0915	-20.334
162	32.4	-8.0625	-15.2253	-23.2878
163	32.6	-1.1828	-16.1917	-17.3745
164	32.8	-1.9953	-15.7264	-17.7217
165	33	-4.1887	-14.9741	-19.1628
166	33.2	-0.2243	-11.6321	-11.8564
167	33.4	-11.4453	-17.0606	-28.5059
168	33.6	-6.5218	-17.873	-24.3948
169	33.8	-19.9465	-15.7778	-35.7243
170	34	-18.0671	-15.9376	-34.0047
171	34.2	-4.2696	-15.7725	-20.0421
172	34.4	-2.5465	-18.886	-21.4325
173	34.6	-5.8042	-10.9321	-16.7363
174	34.8	-6.4898	-16.7159	-23.2057
175	35	-11.241	-15.3014	-26.5424
176	35.2	-9.699	-14.0935	-23.7925
177	35.4	-3.4514	-14.8317	-18.2831
178	35.6	-2.8699	-15.1762	-18.0461
179	35.8	-18.608	-14.7177	-33.3257
180	36	-6.8744	-16.2393	-23.1137
181	36.2	-11.291	-16.5754	-27.8664
182	36.4	-11.6434	-16.6066	-28.25
183	36.6	-5.8015	-16.0804	-21.8819
184	36.8	2.3185	-17.5196	-15.2011
185	37	-10.7938	-17.4085	-28.2023
186	37.2	-7.7397	-15.8214	-23.5611
187	37.4	-1.4133	-17.5771	-18.9904
188	37.6	-2.8142	-16.7908	-19.605
189	37.8	-5.6962	-14.1528	-19.849
190	38	-8.3489	-18.0299	-26.3788
191	38.2	2.8823	-15.5475	-12.6652
192	38.4	-13.6198	-16.1784	-29.7982
193	38.6	-8.4202	-18.5523	-26.9725
194	38.8	-2.7293	-17.9033	-20.6326
195	39	-5.5043	-15.8254	-21.3297
196	39.2	-3.1346	-16.7244	-19.859
197	39.4	-2.4797	-18.7353	-21.215
198	39.6	-5.7609	-19.3259	-25.0868
199	39.8	-8.9181	-15.9849	-24.903
200	40	1.9579	-17.6645	-15.7066
201	40.2	-8.292	-17.0135	-25.3055
202	40.4	-7.4492	-14.4555	-21.9047
203	40.6	-11.3362	-17.1147	-28.4509
204	40.8	-5.0696	-15.5095	-20.5791
205	41	-6.9882	-18.3921	-25.3803
206	41.2	-4.6851	-17.1266	-21.8117
207	41.4	-17.6812	-16.6361	-34.3173
208	41.6	-4.9744	-15.9738	-20.9482
209	41.8	0.5127	-16.8924	-16.3797
210	42	-2.9836	-15.9125	-18.8961
211	42.2	-1.5402	-19.3793	-20.9195
212	42.4	-20.5075	-17.3982	-37.9057
213	42.6	-4.4049	-17.0054	-21.4103
214	42.8	-8.3412	-15.4288	-23.77
