Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -29.5884      -7.8521       -37.4405      -37.4405      
1             1             +1.1552       -3.3367       -2.1815       -2.1815       
2             2             -37.6002      -17.2054      -54.8056      -54.8056      
3             3             -70.0879      -12.4922      -82.5801      -82.5801      
4             4             -45.7913      -37.2839      -83.0752      -83.0752      
5             5             -170.528      -39.8047      -210.333      -210.333      
6             6             -46.7965      -43.3408      -90.1373      -90.1373      
7             7             -60.8651      -49.1151      -109.98       -109.98       
8             8             -52.2819      -45.0337      -97.3156      -97.3156      
9             9             -28.1693      -57.129       -85.2983      -85.2983      
10            10            -41.8214      -49.837       -91.6584      -91.6584      
11            11            -59.0292      -49.1897      -108.219      -108.219      
12            12            -34.8235      -44.8891      -79.7126      -79.7126      
13            13            -28.894       -46.9034      -75.7974      -75.7974      
14            14            -24.6904      -54.3473      -79.0377      -79.0377      
15            15            -13.1656      -38.6669      -51.8325      -51.8325      
16            16            -36.6304      -39.5268      -76.1572      -76.1572      
17            17            -80.2129      -43.9536      -124.167      -124.167      
18            18            -28.8513      -28.1809      -57.0322      -57.0322      
19            19            -6.09         -28.2003      -34.2903      -34.2903      
20            20            -15.9012      -37.1801      -53.0813      -53.0813      
21            21            -29.4341      -35.6166      -65.0507      -65.0507      
22            22            -55.634       -40.0741      -95.7081      -95.7081      
23            23            -101.73       -43.2289      -144.959      -144.959      
24            24            -102.398      -44.8443      -147.242      -147.242      
25            25            -104.72       -53.7547      -158.475      -158.475      
26            26            -85.0587      -40.5722      -125.631      -125.631      
27            27            -73.1029      -43.6211      -116.724      -116.724      
28            28            -54.1139      -43.7798      -97.8937      -97.8937      
29            29            -60.3664      -36.3208      -96.6872      -96.6872      
30            30            -72.667       -28.3623      -101.029      -101.029      
31            31            -78.5071      -33.9533      -112.46       -112.46       
32            32            -109.428      -35.9856      -145.414      -145.414      
33            33            -120.099      -31.081       -151.18       -151.18       
34            34            -117.206      -35.8995      -153.106      -153.106      
35            35            -124.864      -31.5589      -156.423      -156.423      
36            36            -96.3862      -51.5324      -147.919      -147.919      
37            37            -94.5145      -32.8299      -127.344      -127.344      
38            38            -75.515       -31.5029      -107.018      -107.018      
