Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
0	0.682303883	0.719551166	0.70096163		0	0	39.09313287	41.22724494	40.16214302	0	39.09313287	41.22724494	40.16214302
1	0.68228161	0.719542614	0.700940259		1	0.2	39.09185671	41.22675495	40.16091856	0.2	39.09275002	41.22709794	40.16177568
2	0.618861152	0.789855706	0.68536719		2	0.4	35.45813211	45.25539839	39.26864741	0.4	38.00236465	42.43558808	39.8938372
3	0.647990175	0.746505933	0.679482676		3	0.6	37.12710217	42.77163933	38.93148958	0.6	37.7397859	42.53640345	39.60513291
4	0.682101908	0.715298491	0.737888294		4	0.8	39.08156055	40.98358462	42.277885	0.8	38.1423183	42.0705578	40.40695854
5	0.68004286	0.75273359	0.725307895		5	1	38.96358578	43.12845782	41.55708121	1	38.38869854	42.38792781	40.75199534
6	0.668619865	0.729160864	0.74886274		6	1.2	38.30909636	41.77784009	42.90667443	1.2	38.36481789	42.20490149	41.39839907
7	0.706104208	0.704407194	0.751938933		7	1.4	40.45679102	40.35955929	43.08292729	1.4	38.99240982	41.65129883	41.90375753
8	0.638308119	0.735892973	0.748333185		8	1.6	36.57236126	42.16356151	42.87633317	1.6	38.26639526	41.80497763	42.19553022
9	0.665904975	0.822232743	0.705142207		9	1.8	38.15354462	47.11046593	40.40167244	1.8	38.23254007	43.39662412	41.65737289
10	0.604633279	0.767374147	0.749030776		10	2	34.64293507	43.96729991	42.91630222	2	37.15565857	43.56782686	42.03505169
11	0.559587015	0.70958939	0.796632262		11	2.2	32.06197423	40.65647724	45.64366642	2.2	35.62755326	42.69442197	43.11763611
12	0.707505565	0.644291073	0.681575917		12	2.4	40.53708287	36.91515926	39.05142345	2.4	37.10041215	40.96064316	41.89777231
13	0.663484051	0.700045517	0.608681302		13	2.6	38.01483592	40.10965361	34.87486968	2.6	37.37473928	40.7053463	39.79090152
14	0.671661624	0.704013448	0.621928586		14	2.8	38.48337634	40.33699927	35.63388312	2.8	37.7073304	40.59484219	38.543796
15	0.651785144	0.77482288	0.773335283		15	3	37.34453788	44.39408092	44.30884788	3	37.59849264	41.73461381	40.27331157
16	0.639644946	0.748270708	0.753833248		16	3.2	36.64895578	42.87275349	43.19146357	3.2	37.31363158	42.07605571	41.14875717
17	0.663166006	0.736566273	0.754742548		17	3.4	37.99661329	42.20213876	43.2435626	3.4	37.51852609	42.11388063	41.77719879
18	0.655845602	0.782467741	0.899268389		18	3.6	37.57718498	44.83209915	51.52428333	3.6	37.53612376	42.92934618	44.70132416
19	0.685179101	0.75203246	0.877176206		19	3.8	39.25787071	43.088286	50.2584945	3.8	38.05264785	42.97702813	46.36847526
20	0.593908553	0.720324117	0.892050465		20	4	34.02845353	41.27153179	51.11072673	4	36.84538955	42.46537922	47.7911507
21	0.591221945	0.71383809	0.819488086		21	4.2	33.87452221	40.8999098	46.95320866	4.2	35.95412935	41.9957384	47.53976809
22	0.643969997	0.711617341	0.729735931		22	4.4	36.89676296	40.77267026	41.81078898	4.4	36.23691943	41.62881796	45.82107436
23	0.62183459	0.653969864	0.723763317		23	4.6	35.62849755	37.46971313	41.46858344	4.6	36.05439287	40.38108651	44.51532708
24	0.552103079	0.581162667	0.712155002		24	4.8	31.6331763	33.29816805	40.80347599	4.8	34.7280279	38.25621097	43.40177175
25	0.624912835	0.656005084	0.68184463		25	5	35.80486799	37.58632268	39.06681955	5	35.05107992	38.05524448	42.10128609
26	0.619507804	0.68447793	0.709263428		26	5.2	35.49518253	39.21769656	40.63780098	5.2	35.1843107	38.40398011	41.66224056
27	0.591281375	0.66676154	0.686099197		27	5.4	33.87792729	38.20262218	39.31058831	5.4	34.79239568	38.34357273	40.95674488
28	0.497939328	0.696748358	0.70792455		28	5.6	28.52982193	39.92074029	40.56108894	5.6	32.91362356	38.816723	40.8380481
29	0.597224264	0.722584299	0.657981748		29	5.8	34.21842977	41.4010307	37.69957717	5.8	33.30506542	39.59201531	39.89650682
30	0.562711452	0.746143015	0.709001545		30	6	32.24099127	42.75084569	40.62279618	6	32.98584317	40.53966442	40.11439363
